Time, Frequency, Resistance 
7/1/2021 11:34:25.193812, 5009931.2, 373.33
7/1/2021 11:34:26.144621, 5009930.8, 373.35
7/1/2021 11:34:27.94019, 5009930.4, 373.35
7/1/2021 11:34:28.44176, 5009930.0, 373.35
7/1/2021 11:34:29.29908, 5009929.6, 373.35
7/1/2021 11:34:30.30290, 5009929.3, 373.36
7/1/2021 11:34:31.30010, 5009928.9, 373.36
7/1/2021 11:34:32.29414, 5009928.5, 373.36
7/1/2021 11:34:33.29299, 5009928.1, 373.37
7/1/2021 11:34:34.30897, 5009927.8, 373.38
7/1/2021 11:34:35.30223, 5009927.4, 373.38
7/1/2021 11:34:36.30717, 5009927.0, 373.39
7/1/2021 11:34:37.29938, 5009926.6, 373.39
7/1/2021 11:34:38.30474, 5009926.3, 373.39
7/1/2021 11:34:39.29556, 5009926.0, 373.4
7/1/2021 11:34:40.29310, 5009925.7, 373.41
7/1/2021 11:34:41.30657, 5009925.3, 373.41
7/1/2021 11:34:42.30622, 5009924.9, 373.41
7/1/2021 11:34:43.31058, 5009924.6, 373.42
7/1/2021 11:34:44.29666, 5009924.1, 373.42
7/1/2021 11:34:45.30344, 5009923.9, 373.43
7/1/2021 11:34:46.30575, 5009923.5, 373.43
7/1/2021 11:34:47.30316, 5009923.2, 373.43
7/1/2021 11:34:48.30802, 5009922.8, 373.44
7/1/2021 11:34:49.31227, 5009922.5, 373.44
7/1/2021 11:34:50.29366, 5009922.1, 373.45
7/1/2021 11:34:51.30761, 5009921.8, 373.45
7/1/2021 11:34:52.29579, 5009921.4, 373.45
7/1/2021 11:34:53.30466, 5009921.2, 373.46
7/1/2021 11:34:54.30836, 5009920.8, 373.46
7/1/2021 11:34:55.31456, 5009920.5, 373.48
7/1/2021 11:34:56.31507, 5009920.0, 373.48
7/1/2021 11:34:57.31045, 5009919.8, 373.48
7/1/2021 11:34:58.30857, 5009919.4, 373.49
7/1/2021 11:34:59.31392, 5009919.0, 373.5
7/1/2021 11:35:0.31030, 5009918.7, 373.51
7/1/2021 11:35:1.31191, 5009918.3, 373.52
7/1/2021 11:35:2.30017, 5009918.0, 373.53
7/1/2021 11:35:3.31326, 5009917.6, 373.53
7/1/2021 11:35:4.31302, 5009917.2, 373.55
7/1/2021 11:35:5.31194, 5009916.9, 373.55
7/1/2021 11:35:6.31239, 5009916.4, 373.55
7/1/2021 11:35:7.31421, 5009916.1, 373.55
7/1/2021 11:35:8.31575, 5009915.7, 373.57
7/1/2021 11:35:9.30040, 5009915.3, 373.58
7/1/2021 11:35:10.31571, 5009914.9, 373.59
7/1/2021 11:35:11.31946, 5009914.4, 373.6
7/1/2021 11:35:12.31454, 5009914.1, 373.6
7/1/2021 11:35:13.31670, 5009913.7, 373.62
7/1/2021 11:35:14.31814, 5009913.3, 373.62
7/1/2021 11:35:15.30074, 5009912.8, 373.63
7/1/2021 11:35:16.31262, 5009912.4, 373.64
7/1/2021 11:35:17.31181, 5009911.9, 373.65
7/1/2021 11:35:18.31275, 5009911.4, 373.67
7/1/2021 11:35:19.30705, 5009910.9, 373.67
7/1/2021 11:35:20.31794, 5009910.4, 373.68
7/1/2021 11:35:21.31113, 5009910.0, 373.7
7/1/2021 11:35:22.31996, 5009909.5, 373.71
7/1/2021 11:35:23.30379, 5009909.0, 373.72
7/1/2021 11:35:24.32069, 5009908.6, 373.73
7/1/2021 11:35:25.31208, 5009908.0, 373.76
7/1/2021 11:35:26.32007, 5009907.6, 373.77
7/1/2021 11:35:27.30775, 5009907.1, 373.78
7/1/2021 11:35:28.31087, 5009906.6, 373.8
7/1/2021 11:35:29.30311, 5009906.0, 373.81
7/1/2021 11:35:30.31718, 5009905.6, 373.82
7/1/2021 11:35:31.31133, 5009905.1, 373.83
7/1/2021 11:35:32.30659, 5009904.6, 373.84
7/1/2021 11:35:33.32728, 5009904.1, 373.85
7/1/2021 11:35:34.31674, 5009903.6, 373.85
7/1/2021 11:35:35.31926, 5009903.1, 373.86
7/1/2021 11:35:36.32462, 5009902.6, 373.87
7/1/2021 11:35:37.32125, 5009902.1, 373.88
7/1/2021 11:35:38.32268, 5009901.6, 373.89
7/1/2021 11:35:39.30575, 5009901.1, 373.91
7/1/2021 11:35:40.32359, 5009900.6, 373.91
7/1/2021 11:35:41.31690, 5009900.0, 373.92
7/1/2021 11:35:42.32348, 5009899.5, 373.93
7/1/2021 11:35:43.31810, 5009899.0, 373.94
7/1/2021 11:35:44.31958, 5009898.4, 373.94
7/1/2021 11:35:45.31190, 5009898.0, 373.96
7/1/2021 11:35:46.30349, 5009897.4, 373.96
7/1/2021 11:35:47.30677, 5009896.9, 373.98
7/1/2021 11:35:48.30787, 5009896.3, 373.98
7/1/2021 11:35:49.31382, 5009895.9, 374.0
7/1/2021 11:35:50.31942, 5009895.3, 374.01
7/1/2021 11:35:51.32610, 5009894.8, 374.02
7/1/2021 11:35:52.32580, 5009894.1, 374.04
7/1/2021 11:35:53.32237, 5009893.6, 374.05
7/1/2021 11:35:54.31708, 5009893.1, 374.06
7/1/2021 11:35:55.32249, 5009892.5, 374.07
7/1/2021 11:35:56.32343, 5009892.0, 374.08
7/1/2021 11:35:57.32809, 5009891.4, 374.09
7/1/2021 11:35:58.32178, 5009890.9, 374.1
7/1/2021 11:35:59.32627, 5009890.3, 374.12
7/1/2021 11:36:0.31031, 5009889.8, 374.13
7/1/2021 11:36:1.32306, 5009889.2, 374.14
7/1/2021 11:36:2.32317, 5009888.6, 374.14
7/1/2021 11:36:3.31216, 5009888.0, 374.15
7/1/2021 11:36:4.32237, 5009887.5, 374.16
7/1/2021 11:36:5.32388, 5009886.9, 374.17
7/1/2021 11:36:6.33116, 5009886.3, 374.18
7/1/2021 11:36:7.32749, 5009885.7, 374.19
7/1/2021 11:36:8.33234, 5009885.1, 374.2
7/1/2021 11:36:9.32907, 5009884.5, 374.21
7/1/2021 11:36:10.32845, 5009884.0, 374.23
7/1/2021 11:36:11.32187, 5009883.3, 374.25
7/1/2021 11:36:12.32537, 5009882.8, 374.25
7/1/2021 11:36:13.33045, 5009882.1, 374.26
7/1/2021 11:36:14.32583, 5009881.6, 374.28
7/1/2021 11:36:15.32341, 5009881.0, 374.29
7/1/2021 11:36:16.31352, 5009880.4, 374.29
7/1/2021 11:36:17.32131, 5009879.8, 374.3
7/1/2021 11:36:18.31993, 5009879.1, 374.31
7/1/2021 11:36:19.33444, 5009878.5, 374.33
7/1/2021 11:36:20.32213, 5009877.8, 374.34
7/1/2021 11:36:21.31627, 5009877.1, 374.35
7/1/2021 11:36:22.33410, 5009876.4, 374.35
7/1/2021 11:36:23.31848, 5009875.9, 374.37
7/1/2021 11:36:24.32438, 5009875.3, 374.37
7/1/2021 11:36:25.33024, 5009874.6, 374.38
7/1/2021 11:36:26.33310, 5009873.9, 374.39
7/1/2021 11:36:27.32960, 5009873.3, 374.41
7/1/2021 11:36:28.33370, 5009872.6, 374.41
7/1/2021 11:36:29.32915, 5009871.9, 374.43
7/1/2021 11:36:30.32007, 5009871.3, 374.44
7/1/2021 11:36:31.209772, 5009870.6, 374.44
7/1/2021 11:36:32.210348, 5009869.9, 374.45
7/1/2021 11:36:33.210639, 5009869.1, 374.46
7/1/2021 11:36:34.210567, 5009868.4, 374.47
7/1/2021 11:36:35.210292, 5009867.8, 374.48
7/1/2021 11:36:36.209144, 5009867.0, 374.49
7/1/2021 11:36:37.210389, 5009866.3, 374.51
7/1/2021 11:36:38.210583, 5009865.5, 374.53
7/1/2021 11:36:39.210051, 5009864.8, 374.54
7/1/2021 11:36:40.210034, 5009864.1, 374.54
7/1/2021 11:36:41.210930, 5009863.4, 374.56
7/1/2021 11:36:42.210799, 5009862.6, 374.56
7/1/2021 11:36:43.210502, 5009861.9, 374.57
7/1/2021 11:36:44.211092, 5009861.1, 374.58
7/1/2021 11:36:45.210324, 5009860.4, 374.58
7/1/2021 11:36:46.210218, 5009859.7, 374.59
7/1/2021 11:36:47.211133, 5009858.9, 374.6
7/1/2021 11:36:48.210651, 5009858.1, 374.6
7/1/2021 11:36:49.210850, 5009857.4, 374.61
7/1/2021 11:36:50.211141, 5009856.6, 374.62
7/1/2021 11:36:51.211148, 5009855.9, 374.63
7/1/2021 11:36:52.211996, 5009855.0, 374.64
7/1/2021 11:36:53.210554, 5009854.2, 374.65
7/1/2021 11:36:54.211180, 5009853.4, 374.65
7/1/2021 11:36:55.210950, 5009852.6, 374.67
7/1/2021 11:36:56.211739, 5009851.8, 374.68
7/1/2021 11:36:57.211013, 5009850.8, 374.7
7/1/2021 11:36:58.211826, 5009850.0, 374.71
7/1/2021 11:36:59.210857, 5009849.1, 374.71
7/1/2021 11:37:0.211708, 5009848.3, 374.72
7/1/2021 11:37:1.211453, 5009847.4, 374.74
7/1/2021 11:37:2.210609, 5009846.5, 374.74
7/1/2021 11:37:3.211139, 5009845.6, 374.75
7/1/2021 11:37:4.211206, 5009844.8, 374.77
7/1/2021 11:37:5.211613, 5009843.9, 374.77
7/1/2021 11:37:6.211383, 5009843.0, 374.78
7/1/2021 11:37:7.211741, 5009842.0, 374.79
7/1/2021 11:37:8.211561, 5009841.1, 374.8
7/1/2021 11:37:9.211950, 5009840.1, 374.81
7/1/2021 11:37:10.212068, 5009839.3, 374.82
7/1/2021 11:37:11.210316, 5009838.2, 374.83
7/1/2021 11:37:12.212108, 5009837.3, 374.85
7/1/2021 11:37:13.210936, 5009836.3, 374.86
7/1/2021 11:37:14.212149, 5009835.3, 374.86
7/1/2021 11:37:15.211777, 5009834.3, 374.87
7/1/2021 11:37:16.211541, 5009833.3, 374.88
7/1/2021 11:37:17.210864, 5009832.3, 374.89
7/1/2021 11:37:18.211043, 5009831.3, 374.9
7/1/2021 11:37:19.211250, 5009830.3, 374.91
7/1/2021 11:37:20.212004, 5009829.1, 374.92
7/1/2021 11:37:21.212560, 5009828.1, 374.94
7/1/2021 11:37:22.211987, 5009827.0, 374.96
7/1/2021 11:37:23.211487, 5009825.9, 374.98
7/1/2021 11:37:24.211643, 5009824.8, 375.0
7/1/2021 11:37:25.212272, 5009823.6, 375.01
7/1/2021 11:37:26.211294, 5009822.4, 375.02
7/1/2021 11:37:27.212860, 5009821.3, 375.04
7/1/2021 11:37:28.212510, 5009820.0, 375.04
7/1/2021 11:37:29.212108, 5009818.9, 375.06
7/1/2021 11:37:30.211884, 5009817.6, 375.08
7/1/2021 11:37:31.211346, 5009816.4, 375.09
7/1/2021 11:37:32.210521, 5009815.1, 375.11
7/1/2021 11:37:33.210862, 5009813.8, 375.12
7/1/2021 11:37:34.211304, 5009812.4, 375.14
7/1/2021 11:37:35.211668, 5009811.1, 375.16
7/1/2021 11:37:36.212719, 5009809.7, 375.18
7/1/2021 11:37:37.211692, 5009808.2, 375.2
7/1/2021 11:37:38.213110, 5009806.8, 375.2
7/1/2021 11:37:39.212874, 5009805.3, 375.22
7/1/2021 11:37:40.212982, 5009803.8, 375.23
7/1/2021 11:37:41.212359, 5009802.1, 375.25
7/1/2021 11:37:42.212494, 5009800.6, 375.25
7/1/2021 11:37:43.212827, 5009798.9, 375.27
7/1/2021 11:37:44.212658, 5009797.2, 375.28
7/1/2021 11:37:45.213012, 5009795.6, 375.29
7/1/2021 11:37:46.211751, 5009793.9, 375.3
7/1/2021 11:37:47.211966, 5009792.0, 375.32
7/1/2021 11:37:48.212532, 5009790.2, 375.34
7/1/2021 11:37:49.211846, 5009788.4, 375.36
7/1/2021 11:37:50.213013, 5009786.4, 375.38
7/1/2021 11:37:51.212641, 5009784.5, 375.4
7/1/2021 11:37:52.213342, 5009782.6, 375.42
7/1/2021 11:37:53.213030, 5009780.6, 375.45
7/1/2021 11:37:54.213253, 5009778.6, 375.47
7/1/2021 11:37:55.212847, 5009776.5, 375.5
7/1/2021 11:37:56.212848, 5009774.3, 375.5
7/1/2021 11:37:57.212946, 5009772.1, 375.52
7/1/2021 11:37:58.213400, 5009769.9, 375.55
7/1/2021 11:37:59.212893, 5009767.8, 375.58
7/1/2021 11:38:0.213170, 5009765.5, 375.61
7/1/2021 11:38:1.211936, 5009763.1, 375.64
7/1/2021 11:38:2.212065, 5009760.8, 375.67
