Time, Frequency, Resistance 
1/8/2021 14:19:7.305231, 5000134.1, 342.91
1/8/2021 14:19:8.354145, 5000134.1, 342.92
1/8/2021 14:19:9.385085, 5000134.1, 342.93
1/8/2021 14:19:10.384930, 5000134.1, 342.93
1/8/2021 14:19:11.385748, 5000134.0, 342.94
1/8/2021 14:19:12.383700, 5000134.0, 342.92
1/8/2021 14:19:13.384823, 5000134.0, 342.93
1/8/2021 14:19:14.383831, 5000134.0, 342.93
1/8/2021 14:19:15.384061, 5000134.0, 342.93
1/8/2021 14:19:16.385686, 5000134.0, 342.94
1/8/2021 14:19:17.385178, 5000134.0, 342.94
1/8/2021 14:19:18.385829, 5000134.0, 342.94
1/8/2021 14:19:19.384794, 5000134.0, 342.93
1/8/2021 14:19:20.385411, 5000134.0, 342.93
1/8/2021 14:19:21.384395, 5000134.0, 342.93
1/8/2021 14:19:22.385147, 5000134.0, 342.93
1/8/2021 14:19:23.385380, 5000134.0, 342.94
1/8/2021 14:19:24.385995, 5000134.0, 342.94
1/8/2021 14:19:25.384798, 5000134.0, 342.94
1/8/2021 14:19:26.384562, 5000134.0, 342.94
1/8/2021 14:19:27.384593, 5000134.0, 342.94
1/8/2021 14:19:28.384595, 5000134.0, 342.94
1/8/2021 14:19:29.383842, 5000134.1, 342.94
1/8/2021 14:19:30.384690, 5000134.0, 342.94
1/8/2021 14:19:31.385708, 5000134.0, 342.94
1/8/2021 14:19:32.385106, 5000134.0, 342.94
1/8/2021 14:19:33.386074, 5000134.0, 342.94
1/8/2021 14:19:34.385592, 5000134.0, 342.95
1/8/2021 14:19:35.385578, 5000134.0, 342.97
1/8/2021 14:19:36.386355, 5000134.0, 342.97
1/8/2021 14:19:37.385808, 5000134.0, 342.97
1/8/2021 14:19:38.384411, 5000134.0, 342.97
1/8/2021 14:19:39.386143, 5000134.0, 342.96
1/8/2021 14:19:40.385615, 5000134.0, 342.96
1/8/2021 14:19:41.385684, 5000133.9, 342.96
1/8/2021 14:19:42.385525, 5000134.0, 342.96
1/8/2021 14:19:43.385471, 5000134.0, 342.95
1/8/2021 14:19:44.385433, 5000134.0, 342.95
1/8/2021 14:19:45.385623, 5000133.9, 342.95
1/8/2021 14:19:46.386247, 5000134.0, 342.95
1/8/2021 14:19:47.385707, 5000134.0, 342.95
1/8/2021 14:19:48.385862, 5000133.9, 342.95
1/8/2021 14:19:49.385832, 5000134.0, 342.95
1/8/2021 14:19:50.386402, 5000134.0, 342.95
1/8/2021 14:19:51.385649, 5000133.9, 342.95
1/8/2021 14:19:52.386482, 5000134.0, 342.95
1/8/2021 14:19:53.386304, 5000134.0, 342.96
1/8/2021 14:19:54.385744, 5000133.9, 342.96
1/8/2021 14:19:55.385789, 5000133.9, 342.94
1/8/2021 14:19:56.386420, 5000134.0, 342.95
1/8/2021 14:19:57.385552, 5000134.0, 342.93
1/8/2021 14:19:58.384928, 5000134.0, 342.94
1/8/2021 14:19:59.385045, 5000133.9, 342.96
1/8/2021 14:20:0.385002, 5000133.9, 342.96
1/8/2021 14:20:1.385953, 5000133.9, 342.95
1/8/2021 14:20:2.386675, 5000133.9, 342.96
1/8/2021 14:20:3.386753, 5000133.9, 342.95
1/8/2021 14:20:4.384738, 5000133.9, 342.96
1/8/2021 14:20:5.386662, 5000133.9, 342.96
1/8/2021 14:20:6.385812, 5000133.9, 342.96
1/8/2021 14:20:7.386737, 5000133.9, 342.96
1/8/2021 14:20:8.385499, 5000133.9, 342.95
1/8/2021 14:20:9.386579, 5000133.9, 342.95
1/8/2021 14:20:10.385873, 5000134.0, 342.96
1/8/2021 14:20:11.386800, 5000134.0, 342.96
1/8/2021 14:20:12.385568, 5000134.0, 342.96
1/8/2021 14:20:13.385846, 5000133.9, 342.96
1/8/2021 14:20:14.385454, 5000133.9, 342.96
1/8/2021 14:20:15.385680, 5000133.9, 342.96
1/8/2021 14:20:16.386218, 5000133.9, 342.96
1/8/2021 14:20:17.386506, 5000133.9, 342.95
1/8/2021 14:20:18.386569, 5000133.9, 342.96
1/8/2021 14:20:19.386581, 5000133.9, 342.96
1/8/2021 14:20:20.385886, 5000133.9, 342.96
1/8/2021 14:20:21.387097, 5000133.9, 342.96
1/8/2021 14:20:22.386590, 5000133.9, 342.96
1/8/2021 14:20:23.386495, 5000133.9, 342.96
1/8/2021 14:20:24.387263, 5000133.9, 342.97
1/8/2021 14:20:25.387290, 5000133.9, 342.97
1/8/2021 14:20:26.386897, 5000133.9, 342.97
1/8/2021 14:20:27.386889, 5000133.9, 342.97
1/8/2021 14:20:28.385485, 5000133.9, 342.96
1/8/2021 14:20:29.385518, 5000133.9, 342.98
