Time, Frequency, Resistance 
1/7/2021 11:34:25.193812, 5009931.2, 373.33
1/7/2021 11:34:26.144621, 5009930.8, 373.35
1/7/2021 11:34:27.940190, 5009930.4, 373.35
1/7/2021 11:34:28.441760, 5009930.0, 373.35
1/7/2021 11:34:29.299080, 5009929.6, 373.35
1/7/2021 11:34:30.302900, 5009929.3, 373.36
1/7/2021 11:34:31.300100, 5009928.9, 373.36
1/7/2021 11:34:32.294140, 5009928.5, 373.36
1/7/2021 11:34:33.292990, 5009928.1, 373.37
1/7/2021 11:34:34.308970, 5009927.8, 373.38
1/7/2021 11:34:35.302230, 5009927.4, 373.38
1/7/2021 11:34:36.307170, 5009927.0, 373.39
1/7/2021 11:34:37.299380, 5009926.6, 373.39
1/7/2021 11:34:38.304740, 5009926.3, 373.39
1/7/2021 11:34:39.295560, 5009926.0, 373.4
1/7/2021 11:34:40.293100, 5009925.7, 373.41
1/7/2021 11:34:41.306570, 5009925.3, 373.41
1/7/2021 11:34:42.306220, 5009924.9, 373.41
1/7/2021 11:34:43.310580, 5009924.6, 373.42
1/7/2021 11:34:44.296660, 5009924.1, 373.42
1/7/2021 11:34:45.303440, 5009923.9, 373.43
1/7/2021 11:34:46.305750, 5009923.5, 373.43
1/7/2021 11:34:47.303160, 5009923.2, 373.43
1/7/2021 11:34:48.308020, 5009922.8, 373.44
1/7/2021 11:34:49.312270, 5009922.5, 373.44
1/7/2021 11:34:50.293660, 5009922.1, 373.45
1/7/2021 11:34:51.307610, 5009921.8, 373.45
1/7/2021 11:34:52.295790, 5009921.4, 373.45
1/7/2021 11:34:53.304660, 5009921.2, 373.46
1/7/2021 11:34:54.308360, 5009920.8, 373.46
1/7/2021 11:34:55.314560, 5009920.5, 373.48
1/7/2021 11:34:56.315070, 5009920.0, 373.48
1/7/2021 11:34:57.310450, 5009919.8, 373.48
1/7/2021 11:34:58.308570, 5009919.4, 373.49
1/7/2021 11:34:59.313920, 5009919.0, 373.5
1/7/2021 11:35:0.310300, 5009918.7, 373.51
1/7/2021 11:35:1.311910, 5009918.3, 373.52
1/7/2021 11:35:2.300170, 5009918.0, 373.53
1/7/2021 11:35:3.313260, 5009917.6, 373.53
1/7/2021 11:35:4.313020, 5009917.2, 373.55
1/7/2021 11:35:5.311940, 5009916.9, 373.55
1/7/2021 11:35:6.312390, 5009916.4, 373.55
1/7/2021 11:35:7.314210, 5009916.1, 373.55
1/7/2021 11:35:8.315750, 5009915.7, 373.57
1/7/2021 11:35:9.300400, 5009915.3, 373.58
1/7/2021 11:35:10.315710, 5009914.9, 373.59
1/7/2021 11:35:11.319460, 5009914.4, 373.6
1/7/2021 11:35:12.314540, 5009914.1, 373.6
1/7/2021 11:35:13.316700, 5009913.7, 373.62
1/7/2021 11:35:14.318140, 5009913.3, 373.62
1/7/2021 11:35:15.300740, 5009912.8, 373.63
1/7/2021 11:35:16.312620, 5009912.4, 373.64
1/7/2021 11:35:17.311810, 5009911.9, 373.65
1/7/2021 11:35:18.312750, 5009911.4, 373.67
1/7/2021 11:35:19.307050, 5009910.9, 373.67
1/7/2021 11:35:20.317940, 5009910.4, 373.68
1/7/2021 11:35:21.311130, 5009910.0, 373.7
1/7/2021 11:35:22.319960, 5009909.5, 373.71
1/7/2021 11:35:23.303790, 5009909.0, 373.72
1/7/2021 11:35:24.320690, 5009908.6, 373.73
1/7/2021 11:35:25.312080, 5009908.0, 373.76
1/7/2021 11:35:26.320070, 5009907.6, 373.77
1/7/2021 11:35:27.307750, 5009907.1, 373.78
1/7/2021 11:35:28.310870, 5009906.6, 373.8
1/7/2021 11:35:29.303110, 5009906.0, 373.81
1/7/2021 11:35:30.317180, 5009905.6, 373.82
1/7/2021 11:35:31.311330, 5009905.1, 373.83
1/7/2021 11:35:32.306590, 5009904.6, 373.84
1/7/2021 11:35:33.327280, 5009904.1, 373.85
1/7/2021 11:35:34.316740, 5009903.6, 373.85
1/7/2021 11:35:35.319260, 5009903.1, 373.86
1/7/2021 11:35:36.324620, 5009902.6, 373.87
1/7/2021 11:35:37.321250, 5009902.1, 373.88
1/7/2021 11:35:38.322680, 5009901.6, 373.89
1/7/2021 11:35:39.305750, 5009901.1, 373.91
1/7/2021 11:35:40.323590, 5009900.6, 373.91
1/7/2021 11:35:41.316900, 5009900.0, 373.92
1/7/2021 11:35:42.323480, 5009899.5, 373.93
1/7/2021 11:35:43.318100, 5009899.0, 373.94
1/7/2021 11:35:44.319580, 5009898.4, 373.94
1/7/2021 11:35:45.311900, 5009898.0, 373.96
1/7/2021 11:35:46.303490, 5009897.4, 373.96
1/7/2021 11:35:47.306770, 5009896.9, 373.98
1/7/2021 11:35:48.307870, 5009896.3, 373.98
1/7/2021 11:35:49.313820, 5009895.9, 374.0
1/7/2021 11:35:50.319420, 5009895.3, 374.01
1/7/2021 11:35:51.326100, 5009894.8, 374.02
1/7/2021 11:35:52.325800, 5009894.1, 374.04
1/7/2021 11:35:53.322370, 5009893.6, 374.05
1/7/2021 11:35:54.317080, 5009893.1, 374.06
1/7/2021 11:35:55.322490, 5009892.5, 374.07
1/7/2021 11:35:56.323430, 5009892.0, 374.08
1/7/2021 11:35:57.328090, 5009891.4, 374.09
1/7/2021 11:35:58.321780, 5009890.9, 374.1
1/7/2021 11:35:59.326270, 5009890.3, 374.12
1/7/2021 11:36:0.310310, 5009889.8, 374.13
1/7/2021 11:36:1.323060, 5009889.2, 374.14
1/7/2021 11:36:2.323170, 5009888.6, 374.14
1/7/2021 11:36:3.312160, 5009888.0, 374.15
1/7/2021 11:36:4.322370, 5009887.5, 374.16
1/7/2021 11:36:5.323880, 5009886.9, 374.17
1/7/2021 11:36:6.331160, 5009886.3, 374.18
1/7/2021 11:36:7.327490, 5009885.7, 374.19
1/7/2021 11:36:8.332340, 5009885.1, 374.2
1/7/2021 11:36:9.329070, 5009884.5, 374.21
1/7/2021 11:36:10.328450, 5009884.0, 374.23
1/7/2021 11:36:11.321870, 5009883.3, 374.25
1/7/2021 11:36:12.325370, 5009882.8, 374.25
1/7/2021 11:36:13.330450, 5009882.1, 374.26
1/7/2021 11:36:14.325830, 5009881.6, 374.28
1/7/2021 11:36:15.323410, 5009881.0, 374.29
1/7/2021 11:36:16.313520, 5009880.4, 374.29
1/7/2021 11:36:17.321310, 5009879.8, 374.3
1/7/2021 11:36:18.319930, 5009879.1, 374.31
1/7/2021 11:36:19.334440, 5009878.5, 374.33
1/7/2021 11:36:20.322130, 5009877.8, 374.34
1/7/2021 11:36:21.316270, 5009877.1, 374.35
1/7/2021 11:36:22.334100, 5009876.4, 374.35
1/7/2021 11:36:23.318480, 5009875.9, 374.37
1/7/2021 11:36:24.324380, 5009875.3, 374.37
1/7/2021 11:36:25.330240, 5009874.6, 374.38
1/7/2021 11:36:26.333100, 5009873.9, 374.39
1/7/2021 11:36:27.329600, 5009873.3, 374.41
1/7/2021 11:36:28.333700, 5009872.6, 374.41
1/7/2021 11:36:29.329150, 5009871.9, 374.43
