Time, Frequency, Resistance 
11/1/2021 18:33:25.853884, 5000109.3, 329.97
11/1/2021 18:33:26.903727, 5000109.3, 329.98
11/1/2021 18:33:27.953444, 5000109.4, 329.98
11/1/2021 18:33:28.961012, 5000109.4, 329.97
11/1/2021 18:33:29.961271, 5000109.3, 329.98
11/1/2021 18:33:30.961778, 5000109.9, 329.97
11/1/2021 18:33:31.961303, 5000421.8, 340.5
11/1/2021 18:33:32.961304, 5000677.8, 52.649
11/1/2021 18:33:33.962072, 5000125.3, 219.03
11/1/2021 18:33:34.961417, 5000125.9, 328.96
11/1/2021 18:33:35.961827, 5000127.4, 328.85
11/1/2021 18:33:36.961460, 5000129.6, 329.15
11/1/2021 18:33:37.961412, 5000128.6, 329.17
11/1/2021 18:33:38.962045, 5000104.5, 330.63
11/1/2021 18:33:39.961539, 5000103.3, 330.82
11/1/2021 18:33:40.960462, 5000103.2, 330.82
11/1/2021 18:33:41.961125, 5000103.2, 330.85
11/1/2021 18:33:42.961109, 5000103.3, 330.86
11/1/2021 18:33:43.961810, 5000103.2, 330.86
11/1/2021 18:33:44.961304, 5000103.2, 330.88
11/1/2021 18:33:45.961830, 5000103.3, 330.89
11/1/2021 18:33:46.961416, 5000103.1, 330.89
11/1/2021 18:33:47.962279, 5000103.0, 330.9
11/1/2021 18:33:48.961858, 5000103.0, 330.9
11/1/2021 18:33:49.961198, 5000103.0, 330.91
11/1/2021 18:33:50.961759, 5000104.4, 330.89
11/1/2021 18:33:51.961149, 5000106.4, 330.78
