Time, Frequency, Resistance 
11/1/2021 17:51:47.800578, 5000097.6, 330.62
11/1/2021 17:51:48.850369, 5000097.5, 330.62
11/1/2021 17:51:49.900656, 5000097.6, 330.61
11/1/2021 17:51:50.949352, 5000097.7, 330.61
11/1/2021 17:51:51.998782, 5000097.7, 330.62
11/1/2021 17:51:52.997189, 5000097.8, 330.61
11/1/2021 17:51:53.998666, 5000097.6, 330.61
11/1/2021 17:51:54.999683, 5000097.8, 330.61
11/1/2021 17:51:55.997868, 5000097.8, 330.6
11/1/2021 17:51:56.998782, 5000097.8, 330.6
11/1/2021 17:51:57.998710, 5000097.8, 330.6
11/1/2021 17:51:58.997799, 5000097.7, 330.6
11/1/2021 17:51:59.997476, 5000097.8, 330.6
11/1/2021 17:52:1.2920, 5000097.9, 330.59
11/1/2021 17:52:1.998071, 5000097.9, 330.59
11/1/2021 17:52:2.998392, 5000097.9, 330.59
11/1/2021 17:52:3.999626, 5000097.9, 330.59
11/1/2021 17:52:4.997266, 5000097.9, 330.59
11/1/2021 17:52:5.997395, 5000097.9, 330.59
11/1/2021 17:52:6.998419, 5000097.9, 330.58
11/1/2021 17:52:7.998779, 5000097.9, 330.58
11/1/2021 17:52:8.997641, 5000098.0, 330.57
11/1/2021 17:52:9.997705, 5000098.0, 330.58
11/1/2021 17:52:10.996926, 5000098.1, 330.58
11/1/2021 17:52:11.998282, 5000098.0, 330.58
11/1/2021 17:52:12.997837, 5000098.0, 330.58
11/1/2021 17:52:13.998445, 5000098.0, 330.57
11/1/2021 17:52:14.998968, 5000098.1, 330.57
11/1/2021 17:52:15.997471, 5000098.1, 330.57
11/1/2021 17:52:16.998761, 5000098.1, 330.57
11/1/2021 17:52:17.997738, 5000098.1, 330.56
11/1/2021 17:52:18.996814, 5000098.1, 330.56
11/1/2021 17:52:19.998344, 5000098.1, 330.56
11/1/2021 17:52:20.998278, 5000098.2, 330.56
11/1/2021 17:52:21.998696, 5000098.2, 330.56
11/1/2021 17:52:22.998881, 5000098.2, 330.55
11/1/2021 17:52:23.996929, 5000098.3, 330.55
11/1/2021 17:52:24.998209, 5000098.3, 330.55
11/1/2021 17:52:25.997950, 5000098.3, 330.55
11/1/2021 17:52:26.997471, 5000098.3, 330.55
11/1/2021 17:52:27.997801, 5000098.3, 330.55
11/1/2021 17:52:28.998365, 5000098.4, 330.55
11/1/2021 17:52:29.997809, 5000098.4, 330.54
11/1/2021 17:52:30.997954, 5000098.4, 330.54
11/1/2021 17:52:31.998717, 5000098.4, 330.54
11/1/2021 17:52:32.998813, 5000098.5, 330.54
11/1/2021 17:52:33.997513, 5000098.4, 330.53
11/1/2021 17:52:34.999126, 5000098.5, 330.53
11/1/2021 17:52:35.998607, 5000098.4, 330.54
11/1/2021 17:52:36.997987, 5000098.6, 330.53
11/1/2021 17:52:37.998392, 5000098.6, 330.53
11/1/2021 17:52:38.997524, 5000098.5, 330.53
11/1/2021 17:52:39.998189, 5000098.6, 330.52
11/1/2021 17:52:40.997987, 5000098.6, 330.52
11/1/2021 17:52:41.998157, 5000098.5, 330.52
11/1/2021 17:52:42.998384, 5000098.6, 330.52
11/1/2021 17:52:43.998808, 5000098.6, 330.52
11/1/2021 17:52:44.998066, 5000098.6, 330.52
11/1/2021 17:52:45.998499, 5000098.6, 330.51
11/1/2021 17:52:46.998352, 5000098.7, 330.51
11/1/2021 17:52:47.998390, 5000098.8, 330.51
11/1/2021 17:52:48.998694, 5000098.8, 330.51
11/1/2021 17:52:49.998223, 5000098.7, 330.5
11/1/2021 17:52:50.998685, 5000098.8, 330.5
11/1/2021 17:52:52.80729, 5000098.8, 330.5
11/1/2021 17:52:52.998446, 5000098.8, 330.5
11/1/2021 17:52:53.996890, 5000098.8, 330.5
11/1/2021 17:52:54.997622, 5000098.8, 330.49
11/1/2021 17:52:55.997701, 5000098.9, 330.49
11/1/2021 17:52:56.997672, 5000098.9, 330.49
11/1/2021 17:52:57.998440, 5000098.9, 330.49
11/1/2021 17:52:58.998716, 5000098.9, 330.49
11/1/2021 17:52:59.999290, 5000098.9, 330.48
11/1/2021 17:53:0.998743, 5000098.9, 330.49
11/1/2021 17:53:1.998046, 5000098.9, 330.49
11/1/2021 17:53:2.999182, 5000098.9, 330.49
11/1/2021 17:53:3.998196, 5000099.0, 330.48
11/1/2021 17:53:4.998632, 5000099.0, 330.48
11/1/2021 17:53:5.999102, 5000099.0, 330.48
11/1/2021 17:53:6.998471, 5000099.0, 330.48
11/1/2021 17:53:7.998813, 5000099.0, 330.47
11/1/2021 17:53:8.997748, 5000099.1, 330.47
11/1/2021 17:53:9.998311, 5000099.0, 330.47
11/1/2021 17:53:10.998002, 5000099.0, 330.47
11/1/2021 17:53:11.998526, 5000099.1, 330.47
11/1/2021 17:53:12.998333, 5000099.1, 330.47
11/1/2021 17:53:13.998783, 5000099.1, 330.47
11/1/2021 17:53:14.997581, 5000099.2, 330.47
11/1/2021 17:53:15.998171, 5000099.1, 330.46
11/1/2021 17:53:16.998697, 5000099.1, 330.46
11/1/2021 17:53:17.999134, 5000099.2, 330.46
11/1/2021 17:53:18.997923, 5000099.2, 330.46
11/1/2021 17:53:19.998140, 5000099.2, 330.46
11/1/2021 17:53:20.998327, 5000099.3, 330.46
11/1/2021 17:53:21.997870, 5000099.3, 330.46
11/1/2021 17:53:22.998620, 5000099.3, 330.46
11/1/2021 17:53:23.997649, 5000099.4, 330.45
11/1/2021 17:53:24.997521, 5000099.3, 330.45
11/1/2021 17:53:25.997959, 5000099.3, 330.45
11/1/2021 17:53:26.997724, 5000099.3, 330.44
11/1/2021 17:53:27.997069, 5000099.3, 330.44
11/1/2021 17:53:28.998294, 5000099.4, 330.44
11/1/2021 17:53:29.998028, 5000099.4, 330.44
11/1/2021 17:53:30.998637, 5000099.4, 330.44
11/1/2021 17:53:31.998647, 5000099.4, 330.44
11/1/2021 17:53:32.998181, 5000099.4, 330.44
11/1/2021 17:53:33.997209, 5000099.5, 330.44
