Time, Frequency, Resistance 
13/1/2021 18:2:31.526738, 5011667.7, 20.695
13/1/2021 18:2:32.521322, 5011665.1, 20.689
13/1/2021 18:2:33.521314, 5011663.9, 20.682
13/1/2021 18:2:34.521208, 5011665.0, 20.68
13/1/2021 18:2:35.520851, 5011665.8, 20.681
13/1/2021 18:2:36.521687, 5011668.6, 20.683
13/1/2021 18:2:37.521301, 5011679.4, 20.532
13/1/2021 18:2:38.521012, 5011703.0, 20.452
13/1/2021 18:2:39.521661, 5011703.8, 20.44
13/1/2021 18:2:40.520477, 5011700.3, 20.461
13/1/2021 18:2:41.521703, 5011689.4, 20.566
13/1/2021 18:2:42.520544, 5011685.3, 20.564
13/1/2021 18:2:43.521071, 5011686.8, 20.501
13/1/2021 18:2:44.521516, 5011688.1, 20.563
13/1/2021 18:2:45.522875, 5011684.6, 20.599
13/1/2021 18:2:46.522021, 5011682.2, 20.599
13/1/2021 18:2:47.521839, 5011680.5, 20.611
13/1/2021 18:2:48.521907, 5011678.3, 20.626
13/1/2021 18:2:49.522037, 5011674.9, 20.638
13/1/2021 18:2:50.520996, 5011673.3, 20.626
13/1/2021 18:2:51.521112, 5011687.1, 20.525
13/1/2021 18:2:52.521182, 5011684.6, 20.612
13/1/2021 18:2:53.521372, 5011682.3, 20.586
13/1/2021 18:2:54.521641, 5011689.3, 20.531
13/1/2021 18:2:55.521135, 5011688.8, 20.525
13/1/2021 18:2:56.521094, 5011688.4, 20.505
13/1/2021 18:2:57.521856, 5011690.8, 20.523
13/1/2021 18:2:58.520957, 5011687.8, 20.543
13/1/2021 18:2:59.521879, 5011687.2, 20.581
13/1/2021 18:3:0.520740, 5011684.6, 20.581
13/1/2021 18:3:1.521320, 5011682.7, 20.601
13/1/2021 18:3:2.521714, 5011682.4, 20.609
13/1/2021 18:3:3.522367, 5011679.9, 20.633
13/1/2021 18:3:4.521838, 5011681.0, 20.63
13/1/2021 18:3:5.522220, 5011678.6, 20.645
13/1/2021 18:3:6.522324, 5011674.3, 20.644
13/1/2021 18:3:7.522083, 5011669.6, 20.639
13/1/2021 18:3:8.521736, 5011666.4, 20.636
13/1/2021 18:3:9.522510, 5011669.5, 20.647
13/1/2021 18:3:10.522165, 5011680.9, 20.597
13/1/2021 18:3:11.522273, 5011684.6, 20.554
13/1/2021 18:3:12.521846, 5011688.0, 20.526
13/1/2021 18:3:13.522437, 5011690.4, 20.552
13/1/2021 18:3:14.522181, 5011686.9, 20.552
13/1/2021 18:3:15.521554, 5011684.3, 20.599
13/1/2021 18:3:16.522560, 5011688.4, 20.549
13/1/2021 18:3:17.521311, 5011686.1, 20.586
13/1/2021 18:3:18.522069, 5011680.8, 20.643
13/1/2021 18:3:19.522186, 5011665.3, 53.696
13/1/2021 18:3:20.522791, 5010430.7, 282.89
13/1/2021 18:3:21.522963, 5010293.6, 356.3
13/1/2021 18:3:22.522946, 5010162.9, 368.11
13/1/2021 18:3:23.522928, 5010152.6, 374.21
13/1/2021 18:3:24.521677, 5010158.1, 374.96
13/1/2021 18:3:25.521752, 5010162.7, 375.26
13/1/2021 18:3:26.522608, 5010165.8, 375.45
13/1/2021 18:3:27.523202, 5010168.2, 375.58
13/1/2021 18:3:28.521784, 5010170.1, 375.61
13/1/2021 18:3:29.522260, 5010169.5, 375.61
13/1/2021 18:3:30.522032, 5010173.1, 375.57
13/1/2021 18:3:31.522005, 5010188.8, 375.15
13/1/2021 18:3:32.522120, 5010179.1, 375.53
13/1/2021 18:3:33.522771, 5010172.7, 375.81
13/1/2021 18:3:34.522781, 5010173.6, 375.89
13/1/2021 18:3:35.522691, 5010174.6, 375.92
13/1/2021 18:3:36.522229, 5010176.9, 375.87
13/1/2021 18:3:37.522532, 5010175.7, 375.82
13/1/2021 18:3:38.523115, 5010175.1, 375.68
13/1/2021 18:3:39.521816, 5010175.0, 375.51
13/1/2021 18:3:40.522439, 5010175.0, 375.56
13/1/2021 18:3:41.522658, 5010175.6, 375.58
13/1/2021 18:3:42.523221, 5010176.1, 375.59
13/1/2021 18:3:43.522937, 5010177.0, 375.59
13/1/2021 18:3:44.521910, 5010177.3, 375.63
13/1/2021 18:3:45.522739, 5010177.6, 375.65
13/1/2021 18:3:46.522838, 5010177.9, 375.68
13/1/2021 18:3:47.523296, 5010178.3, 375.7
13/1/2021 18:3:48.522662, 5010178.5, 375.71
13/1/2021 18:3:49.523539, 5010178.7, 375.72
13/1/2021 18:3:50.523428, 5010178.9, 375.74
13/1/2021 18:3:51.523459, 5010179.0, 375.76
13/1/2021 18:3:52.522404, 5010179.1, 375.77
13/1/2021 18:3:53.522700, 5010179.1, 375.79
13/1/2021 18:3:54.523284, 5010179.3, 375.8
13/1/2021 18:3:55.523261, 5010179.3, 375.81
13/1/2021 18:3:56.523698, 5010179.3, 375.81
13/1/2021 18:3:57.522279, 5010179.4, 375.83
13/1/2021 18:3:58.523571, 5010179.5, 375.83
13/1/2021 18:3:59.523679, 5010179.4, 375.84
13/1/2021 18:4:0.523819, 5010179.5, 375.84
13/1/2021 18:4:1.523896, 5010179.6, 375.85
13/1/2021 18:4:2.524076, 5010179.6, 375.87
