Time, Frequency, Resistance 
20/1/2021 10:25:9.578385, 5011770.9, 25.412
20/1/2021 10:25:10.627265, 5011770.9, 25.414
20/1/2021 10:25:11.678343, 5011770.9, 25.414
20/1/2021 10:25:12.691249, 5011770.9, 25.416999999999998
20/1/2021 10:25:13.689478, 5011771.0, 25.418000000000003
20/1/2021 10:25:14.690166, 5011770.9, 25.42
20/1/2021 10:25:15.689564, 5011771.0, 25.423000000000002
20/1/2021 10:25:16.691055, 5011771.0, 25.423000000000002
20/1/2021 10:25:17.689650, 5011771.0, 25.430999999999997
20/1/2021 10:25:18.689076, 5011771.0, 25.427
20/1/2021 10:25:19.689792, 5011771.0, 25.42
20/1/2021 10:25:20.690504, 5011771.0, 25.423000000000002
20/1/2021 10:25:21.690871, 5011771.1, 25.421
20/1/2021 10:25:22.690539, 5011771.1, 25.42
20/1/2021 10:25:23.690174, 5011771.0, 25.421999999999997
20/1/2021 10:25:24.690243, 5011771.0, 25.421999999999997
20/1/2021 10:25:25.690905, 5011771.1, 25.42
20/1/2021 10:25:26.689411, 5011771.0, 25.42
20/1/2021 10:25:27.690278, 5011771.0, 25.425
20/1/2021 10:25:28.689613, 5011771.0, 25.429000000000002
20/1/2021 10:25:29.690572, 5011770.9, 25.43
20/1/2021 10:25:30.691023, 5011770.9, 25.434
20/1/2021 10:25:31.690436, 5011771.0, 25.436
20/1/2021 10:25:32.691190, 5011771.0, 25.44
20/1/2021 10:25:33.690693, 5011771.6, 25.445
20/1/2021 10:25:34.690474, 5011772.0, 25.436999999999998
20/1/2021 10:25:35.690915, 5011511.8, 31.961
20/1/2021 10:25:36.691532, 5010264.1, 393.47
20/1/2021 10:25:37.691261, 5010145.9, 413.57
20/1/2021 10:25:38.689898, 5010107.5, 416.98
20/1/2021 10:25:39.691697, 5010076.4, 420.07
20/1/2021 10:25:40.691642, 5010049.9, 420.07
20/1/2021 10:25:41.689533, 5010029.3, 422.19
20/1/2021 10:25:42.689664, 5010024.6, 423.25
20/1/2021 10:25:43.690051, 5010020.4, 423.62
20/1/2021 10:25:44.691093, 5010016.0, 424.17
20/1/2021 10:25:45.691445, 5010012.9, 424.76
