Time, Frequency, Resistance 
21/1/2021 17:58:27.937440, 5009923.9, 435.63
21/1/2021 17:58:28.980413, 5009923.9, 435.64
21/1/2021 17:58:29.981735, 5009923.9, 435.64
21/1/2021 17:58:30.981272, 5009923.9, 435.64
21/1/2021 17:58:31.981730, 5009923.9, 435.64
21/1/2021 17:58:32.981244, 5009923.9, 435.64
21/1/2021 17:58:33.981676, 5009923.8, 435.64
21/1/2021 17:58:34.980511, 5009923.9, 435.64
21/1/2021 17:58:35.981139, 5009923.9, 435.64
21/1/2021 17:58:36.981142, 5009923.9, 435.63
21/1/2021 17:58:37.981713, 5009923.9, 435.64
21/1/2021 17:58:38.981253, 5009923.9, 435.64
21/1/2021 17:58:39.980234, 5009923.9, 435.63
21/1/2021 17:58:40.981799, 5009923.8, 435.63
21/1/2021 17:58:41.981465, 5009923.8, 435.63
21/1/2021 17:58:42.981470, 5009923.9, 435.63
21/1/2021 17:58:43.981930, 5009923.8, 435.63
21/1/2021 17:58:44.981378, 5009923.8, 435.63
21/1/2021 17:58:45.981543, 5009923.8, 435.63
21/1/2021 17:58:46.980822, 5009923.8, 435.63
21/1/2021 17:58:47.981799, 5009923.9, 435.63
21/1/2021 17:58:48.981329, 5009923.8, 435.62
21/1/2021 17:58:49.980274, 5009923.8, 435.62
21/1/2021 17:58:50.980723, 5009923.8, 435.63
21/1/2021 17:58:51.981526, 5009923.8, 435.63
21/1/2021 17:58:52.980635, 5009923.8, 435.62
21/1/2021 17:58:53.981185, 5009923.8, 435.62
21/1/2021 17:58:54.981647, 5009923.8, 435.63
21/1/2021 17:58:55.980915, 5009923.7, 435.63
21/1/2021 17:58:56.980942, 5009923.8, 435.63
21/1/2021 17:58:57.981824, 5009923.8, 435.62
21/1/2021 17:58:58.980473, 5009923.8, 435.62
21/1/2021 17:58:59.981318, 5009923.8, 435.62
21/1/2021 17:59:0.980846, 5009923.8, 435.62
21/1/2021 17:59:1.982071, 5009923.7, 435.62
21/1/2021 17:59:2.981034, 5009923.6, 435.63
21/1/2021 17:59:3.980099, 5009923.6, 435.64
21/1/2021 17:59:4.981468, 5009923.5, 435.64
21/1/2021 17:59:5.980663, 5009923.4, 435.64
21/1/2021 17:59:6.982043, 5009923.5, 435.64
21/1/2021 17:59:7.981083, 5009923.4, 435.65
21/1/2021 17:59:8.981654, 5009923.4, 435.64
21/1/2021 17:59:9.982016, 5009923.4, 435.65
21/1/2021 17:59:10.982184, 5009923.4, 435.65
21/1/2021 17:59:11.981424, 5009923.4, 435.65
21/1/2021 17:59:12.982374, 5009923.4, 435.65
21/1/2021 17:59:13.981952, 5009923.4, 435.65
21/1/2021 17:59:14.982235, 5009923.5, 435.65
21/1/2021 17:59:15.981507, 5009923.5, 435.64
21/1/2021 17:59:16.982137, 5009923.5, 435.64
21/1/2021 17:59:17.980851, 5009923.5, 435.64
21/1/2021 17:59:18.982444, 5009923.4, 435.65
21/1/2021 17:59:19.982008, 5009923.5, 435.65
21/1/2021 17:59:20.982519, 5009923.5, 435.65
21/1/2021 17:59:21.981891, 5009923.5, 435.65
21/1/2021 17:59:22.981014, 5009923.4, 435.64
21/1/2021 17:59:23.982370, 5009923.4, 435.64
21/1/2021 17:59:24.982007, 5009923.4, 435.64
21/1/2021 17:59:25.982590, 5009923.4, 435.64
21/1/2021 17:59:26.982124, 5009923.4, 435.65
21/1/2021 17:59:27.980787, 5009923.4, 435.64
21/1/2021 17:59:28.981733, 5009923.5, 435.64
21/1/2021 17:59:29.982096, 5009923.4, 435.65
21/1/2021 17:59:30.982717, 5009923.4, 435.65
21/1/2021 17:59:31.982213, 5009923.4, 435.64
21/1/2021 17:59:32.982179, 5009923.4, 435.64
21/1/2021 17:59:33.982838, 5009923.4, 435.64
21/1/2021 17:59:34.982381, 5009923.4, 435.64
21/1/2021 17:59:35.982852, 5009923.4, 435.64
21/1/2021 17:59:36.982367, 5009923.4, 435.64
21/1/2021 17:59:37.982040, 5009923.4, 435.64
