Time, Frequency, Resistance 
25/1/2021 17:6:43.852952, 5009842.3, 434.93
25/1/2021 17:6:44.793221, 5009842.3, 434.91
25/1/2021 17:6:45.773730, 5009842.4, 434.89
25/1/2021 17:6:46.773034, 5009842.4, 434.89
25/1/2021 17:6:47.773703, 5009842.4, 434.86
25/1/2021 17:6:48.773438, 5009842.3, 434.85
25/1/2021 17:6:49.773245, 5009842.4, 434.85
25/1/2021 17:6:50.774063, 5009842.3, 434.83
25/1/2021 17:6:51.773823, 5009842.3, 434.83
25/1/2021 17:6:52.772438, 5009842.3, 434.82
25/1/2021 17:6:53.772027, 5009842.3, 434.81
25/1/2021 17:6:54.773595, 5009842.3, 434.8
25/1/2021 17:6:55.773221, 5009842.3, 434.8
25/1/2021 17:6:56.773871, 5009842.4, 434.8
25/1/2021 17:6:57.773309, 5009842.4, 434.8
25/1/2021 17:6:58.773319, 5009842.4, 434.77
25/1/2021 17:6:59.773803, 5009842.5, 434.76
25/1/2021 17:7:0.773154, 5009842.5, 434.76
25/1/2021 17:7:1.773742, 5009842.5, 434.73
25/1/2021 17:7:2.773321, 5009842.4, 434.74
25/1/2021 17:7:3.772964, 5009842.4, 434.73
25/1/2021 17:7:4.773675, 5009842.5, 434.73
25/1/2021 17:7:5.773012, 5009842.5, 434.73
25/1/2021 17:7:6.772510, 5009842.6, 434.72
25/1/2021 17:7:7.773029, 5009842.6, 434.7
25/1/2021 17:7:8.773753, 5009842.5, 434.7
25/1/2021 17:7:9.771666, 5009842.6, 434.7
25/1/2021 17:7:10.773177, 5009842.5, 434.7
25/1/2021 17:7:11.773099, 5009842.6, 434.69
25/1/2021 17:7:12.773476, 5009842.6, 434.69
25/1/2021 17:7:13.772884, 5009842.5, 434.69
25/1/2021 17:7:14.773693, 5009842.5, 434.69
25/1/2021 17:7:15.772981, 5009842.5, 434.68
25/1/2021 17:7:16.772600, 5009842.5, 434.67
25/1/2021 17:7:17.772789, 5009842.5, 434.67
25/1/2021 17:7:18.773286, 5009842.6, 434.67
25/1/2021 17:7:19.774100, 5009842.6, 434.66
25/1/2021 17:7:20.772736, 5009842.6, 434.65
25/1/2021 17:7:21.773581, 5009842.6, 434.64
25/1/2021 17:7:22.772941, 5009842.6, 434.64
25/1/2021 17:7:23.773491, 5009842.7, 434.64
25/1/2021 17:7:24.772403, 5009842.7, 434.64
25/1/2021 17:7:25.772819, 5009842.7, 434.65
25/1/2021 17:7:26.773291, 5009842.7, 434.64
25/1/2021 17:7:27.773878, 5009842.8, 434.63
25/1/2021 17:7:28.773339, 5009842.8, 434.63
25/1/2021 17:7:29.773917, 5009842.8, 434.64
25/1/2021 17:7:30.773995, 5009842.8, 434.62
25/1/2021 17:7:31.773573, 5009842.8, 434.61
25/1/2021 17:7:32.773174, 5009842.8, 434.62
25/1/2021 17:7:33.772642, 5009842.8, 434.62
25/1/2021 17:7:34.772789, 5009842.8, 434.6
25/1/2021 17:7:35.772698, 5009842.8, 434.6
25/1/2021 17:7:36.772663, 5009842.7, 434.6
25/1/2021 17:7:37.773266, 5009842.8, 434.6
25/1/2021 17:7:38.772758, 5009842.7, 434.6
25/1/2021 17:7:39.771812, 5009842.7, 434.6
25/1/2021 17:7:40.772754, 5009842.6, 434.6
25/1/2021 17:7:41.773430, 5009842.7, 434.59
25/1/2021 17:7:42.773920, 5009842.8, 434.59
25/1/2021 17:7:43.772970, 5009842.8, 434.59
25/1/2021 17:7:44.773679, 5009842.8, 434.59
25/1/2021 17:7:45.773675, 5009842.8, 434.59
25/1/2021 17:7:46.773436, 5009842.7, 434.58
25/1/2021 17:7:47.773268, 5009842.7, 434.58
25/1/2021 17:7:48.774032, 5009842.8, 434.59
25/1/2021 17:7:49.772503, 5009842.8, 434.59
25/1/2021 17:7:50.773313, 5009842.8, 434.58
25/1/2021 17:7:51.773741, 5009842.8, 434.58
25/1/2021 17:7:52.773018, 5009842.8, 434.58
25/1/2021 17:7:53.773822, 5009842.8, 434.58
25/1/2021 17:7:54.773380, 5009842.8, 434.58
25/1/2021 17:7:55.773356, 5009842.8, 434.57
25/1/2021 17:7:56.773777, 5009842.8, 434.58
25/1/2021 17:7:57.772493, 5009842.8, 434.57
25/1/2021 17:7:58.772856, 5009842.8, 434.57
25/1/2021 17:7:59.773515, 5009842.8, 434.56
25/1/2021 17:8:0.773250, 5009842.8, 434.56
25/1/2021 17:8:1.774127, 5009842.8, 434.56
25/1/2021 17:8:2.773857, 5009842.8, 434.56
25/1/2021 17:8:3.772252, 5009842.8, 434.56
25/1/2021 17:8:4.775259, 5009842.8, 434.56
25/1/2021 17:8:5.773705, 5009842.8, 434.56
25/1/2021 17:8:6.773666, 5009842.8, 434.56
25/1/2021 17:8:7.773864, 5009842.8, 434.56
25/1/2021 17:8:8.773602, 5009842.8, 434.55
25/1/2021 17:8:9.773230, 5009842.8, 434.55
25/1/2021 17:8:10.773080, 5009842.8, 434.55
25/1/2021 17:8:11.773711, 5009842.8, 434.55
25/1/2021 17:8:12.772035, 5009842.9, 434.55
25/1/2021 17:8:13.773805, 5009842.9, 434.54
25/1/2021 17:8:14.773450, 5009842.8, 434.54
25/1/2021 17:8:15.774061, 5009842.9, 434.55
25/1/2021 17:8:16.772492, 5009842.8, 434.54
25/1/2021 17:8:17.773340, 5009842.8, 434.54
25/1/2021 17:8:18.773936, 5009842.9, 434.54
25/1/2021 17:8:19.773653, 5009842.8, 434.53
25/1/2021 17:8:20.773397, 5009842.9, 434.54
25/1/2021 17:8:21.774144, 5009842.8, 434.54
25/1/2021 17:8:22.772845, 5009842.8, 434.53
25/1/2021 17:8:23.773317, 5009842.9, 434.53
25/1/2021 17:8:24.773785, 5009842.8, 434.52
25/1/2021 17:8:25.773382, 5009842.9, 434.52
25/1/2021 17:8:26.773504, 5009842.8, 434.53
