Time,Frequency,Resistance
25/01/2021 17:06:43.8529,5009842.3,434.93
25/01/2021 17:06:44.7932,5009842.3,434.91
25/01/2021 17:06:45.7737,5009842.4,434.89
25/01/2021 17:06:46.7730,5009842.4,434.89
25/01/2021 17:06:47.7737,5009842.4,434.86
25/01/2021 17:06:48.7735,5009842.3,434.85
25/01/2021 17:06:49.7732,5009842.4,434.85
25/01/2021 17:06:50.7740,5009842.3,434.83
25/01/2021 17:06:51.7738,5009842.3,434.83
25/01/2021 17:06:52.7724,5009842.3,434.82
25/01/2021 17:06:53.7720,5009842.3,434.81
25/01/2021 17:06:54.7736,5009842.3,434.8
25/01/2021 17:06:55.7732,5009842.3,434.8
25/01/2021 17:06:56.7739,5009842.4,434.8
25/01/2021 17:06:57.7733,5009842.4,434.8
25/01/2021 17:06:58.7733,5009842.4,434.77
25/01/2021 17:06:59.7738,5009842.5,434.76
25/01/2021 17:07:00.7731,5009842.5,434.76
25/01/2021 17:07:01.7737,5009842.5,434.73
25/01/2021 17:07:02.7733,5009842.4,434.74
25/01/2021 17:07:03.7730,5009842.4,434.73
25/01/2021 17:07:04.7737,5009842.5,434.73
25/01/2021 17:07:05.7730,5009842.5,434.73
25/01/2021 17:07:06.7725,5009842.6,434.72
25/01/2021 17:07:07.7730,5009842.6,434.7
25/01/2021 17:07:08.7737,5009842.5,434.7
25/01/2021 17:07:09.7717,5009842.6,434.7
25/01/2021 17:07:10.7732,5009842.5,434.7
25/01/2021 17:07:11.7731,5009842.6,434.69
25/01/2021 17:07:12.7735,5009842.6,434.69
25/01/2021 17:07:13.7729,5009842.5,434.69
25/01/2021 17:07:14.7737,5009842.5,434.69
25/01/2021 17:07:15.7730,5009842.5,434.68
25/01/2021 17:07:16.7726,5009842.5,434.67
25/01/2021 17:07:17.7728,5009842.5,434.67
25/01/2021 17:07:18.7733,5009842.6,434.67
25/01/2021 17:07:19.7741,5009842.6,434.66
25/01/2021 17:07:20.7727,5009842.6,434.65
25/01/2021 17:07:21.7736,5009842.6,434.64
25/01/2021 17:07:22.7729,5009842.6,434.64
25/01/2021 17:07:23.7735,5009842.7,434.64
25/01/2021 17:07:24.7724,5009842.7,434.64
25/01/2021 17:07:25.7728,5009842.7,434.65
25/01/2021 17:07:26.7733,5009842.7,434.64
25/01/2021 17:07:27.7739,5009842.8,434.63
25/01/2021 17:07:28.7734,5009842.8,434.63
25/01/2021 17:07:29.7739,5009842.8,434.64
25/01/2021 17:07:30.7740,5009842.8,434.62
25/01/2021 17:07:31.7736,5009842.8,434.61
25/01/2021 17:07:32.7732,5009842.8,434.62
25/01/2021 17:07:33.7726,5009842.8,434.62
25/01/2021 17:07:34.7728,5009842.8,434.6
25/01/2021 17:07:35.7727,5009842.8,434.6
25/01/2021 17:07:36.7727,5009842.7,434.6
25/01/2021 17:07:37.7733,5009842.8,434.6
25/01/2021 17:07:38.7727,5009842.7,434.6
25/01/2021 17:07:39.7718,5009842.7,434.6
25/01/2021 17:07:40.7728,5009842.6,434.6
25/01/2021 17:07:41.7734,5009842.7,434.59
25/01/2021 17:07:42.7739,5009842.8,434.59
25/01/2021 17:07:43.7730,5009842.8,434.59
25/01/2021 17:07:44.7737,5009842.8,434.59
25/01/2021 17:07:45.7737,5009842.8,434.59
25/01/2021 17:07:46.7734,5009842.7,434.58
25/01/2021 17:07:47.7733,5009842.7,434.58
25/01/2021 17:07:48.7740,5009842.8,434.59
25/01/2021 17:07:49.7725,5009842.8,434.59
25/01/2021 17:07:50.7733,5009842.8,434.58
25/01/2021 17:07:51.7738,5009842.8,434.58
25/01/2021 17:07:52.7730,5009842.8,434.58
25/01/2021 17:07:53.7738,5009842.8,434.58
25/01/2021 17:07:54.7734,5009842.8,434.58
25/01/2021 17:07:55.7734,5009842.8,434.57
25/01/2021 17:07:56.7738,5009842.8,434.58
25/01/2021 17:07:57.7725,5009842.8,434.57
25/01/2021 17:07:58.7729,5009842.8,434.57
25/01/2021 17:07:59.7735,5009842.8,434.56
25/01/2021 17:08:00.7733,5009842.8,434.56
25/01/2021 17:08:01.7741,5009842.8,434.56
25/01/2021 17:08:02.7739,5009842.8,434.56
25/01/2021 17:08:03.7722,5009842.8,434.56
25/01/2021 17:08:04.7753,5009842.8,434.56
25/01/2021 17:08:05.7737,5009842.8,434.56
25/01/2021 17:08:06.7737,5009842.8,434.56
25/01/2021 17:08:07.7739,5009842.8,434.56
25/01/2021 17:08:08.7736,5009842.8,434.55
25/01/2021 17:08:09.7732,5009842.8,434.55
25/01/2021 17:08:10.7731,5009842.8,434.55
25/01/2021 17:08:11.7737,5009842.8,434.55
25/01/2021 17:08:12.7720,5009842.9,434.55
25/01/2021 17:08:13.7738,5009842.9,434.54
25/01/2021 17:08:14.7734,5009842.8,434.54
25/01/2021 17:08:15.7741,5009842.9,434.55
25/01/2021 17:08:16.7725,5009842.8,434.54
25/01/2021 17:08:17.7733,5009842.8,434.54
25/01/2021 17:08:18.7739,5009842.9,434.54
25/01/2021 17:08:19.7736,5009842.8,434.53
25/01/2021 17:08:20.7734,5009842.9,434.54
25/01/2021 17:08:21.7742,5009842.8,434.54
25/01/2021 17:08:22.7729,5009842.8,434.53
25/01/2021 17:08:23.7733,5009842.9,434.53
25/01/2021 17:08:24.7738,5009842.8,434.52
