Time,Frequency,Resistance
25/01/2021 18:13:46.7781,5009843,434.49
25/01/2021 18:13:47.7764,5009843,434.48
25/01/2021 18:13:48.7770,5009843,434.48
25/01/2021 18:13:49.7767,5009843,434.48
25/01/2021 18:13:50.7779,5009843,434.48
25/01/2021 18:13:51.7773,5009843,434.48
25/01/2021 18:13:52.7769,5009843,434.48
25/01/2021 18:13:53.7767,5009843,434.47
25/01/2021 18:13:54.7769,5009843,434.48
25/01/2021 18:13:55.7778,5009843,434.47
25/01/2021 18:13:56.7767,5009843,434.47
25/01/2021 18:13:57.7761,5009843,434.47
25/01/2021 18:13:58.7771,5009843,434.46
25/01/2021 18:13:59.7776,5009843,434.47
25/01/2021 18:14:00.7771,5009843,434.46
25/01/2021 18:14:01.7767,5009843,434.46
25/01/2021 18:14:02.7771,5009843,434.46
25/01/2021 18:14:03.7770,5009843,434.46
25/01/2021 18:14:04.7770,5009843,434.46
25/01/2021 18:14:05.7769,5009843,434.46
25/01/2021 18:14:06.7775,5009843,434.46
25/01/2021 18:14:07.7781,5009843,434.46
25/01/2021 18:14:08.7767,5009843,434.46
25/01/2021 18:14:09.7772,5009843,434.45
25/01/2021 18:14:10.7777,5009843,434.45
25/01/2021 18:14:11.7782,5009843,434.44
25/01/2021 18:14:12.7769,5009843,434.46
25/01/2021 18:14:13.7771,5009843,434.45
25/01/2021 18:14:14.7775,5009843,434.45
25/01/2021 18:14:15.7775,5009843,434.45
25/01/2021 18:14:16.7768,5009843,434.44
25/01/2021 18:14:17.7767,5009843,434.44
25/01/2021 18:14:18.7778,5009843,434.44
25/01/2021 18:14:19.7769,5009843,434.44
25/01/2021 18:14:20.7773,5009843,434.44
25/01/2021 18:14:21.7773,5009843.1,434.43
25/01/2021 18:14:22.7777,5009843,434.43
25/01/2021 18:14:23.7781,5009843,434.43
25/01/2021 18:14:24.7774,5009843,434.43
25/01/2021 18:14:25.7764,5009843,434.42
25/01/2021 18:14:26.7766,5009843,434.42
25/01/2021 18:14:27.7775,5009843,434.42
25/01/2021 18:14:28.7769,5009843,434.42
25/01/2021 18:14:29.7769,5009843,434.42
25/01/2021 18:14:30.7772,5009843,434.42
25/01/2021 18:14:31.7776,5009843,434.42
25/01/2021 18:14:32.7765,5009843,434.42
25/01/2021 18:14:33.7770,5009843,434.41
25/01/2021 18:14:34.7766,5009843,434.42
25/01/2021 18:14:35.7774,5009843,434.41
25/01/2021 18:14:36.7773,5009843,434.41
25/01/2021 18:14:37.7769,5009843,434.41
25/01/2021 18:14:38.7772,5009843,434.41
25/01/2021 18:14:39.7764,5009843,434.4
25/01/2021 18:14:40.7780,5009843,434.4
25/01/2021 18:14:41.7765,5009843,434.4
25/01/2021 18:14:42.7779,5009843,434.4
25/01/2021 18:14:43.7763,5009843,434.39
25/01/2021 18:14:44.7769,5009843,434.39
25/01/2021 18:14:45.7793,5009843,434.39
25/01/2021 18:14:46.7773,5009843,434.39
25/01/2021 18:14:47.7776,5009843,434.39
25/01/2021 18:14:48.7779,5009843,434.39
25/01/2021 18:14:49.7764,5009843,434.39
25/01/2021 18:14:50.7765,5009843,434.39
25/01/2021 18:14:51.7777,5009843,434.38
25/01/2021 18:14:52.7768,5009843,434.38
25/01/2021 18:14:53.7760,5009843,434.38
25/01/2021 18:14:54.7767,5009843,434.38
25/01/2021 18:14:55.7770,5009843,434.38
25/01/2021 18:14:56.7776,5009843,434.38
25/01/2021 18:14:57.7778,5009843,434.38
25/01/2021 18:14:58.7773,5009843,434.38
25/01/2021 18:14:59.7773,5009843,434.38
25/01/2021 18:15:00.7767,5009843,434.38
25/01/2021 18:15:01.7769,5009843,434.37
25/01/2021 18:15:02.7774,5009843,434.37
25/01/2021 18:15:03.7777,5009843,434.38
25/01/2021 18:15:04.7765,5009843,434.37
25/01/2021 18:15:05.7782,5009843,434.38
25/01/2021 18:15:06.7776,5009843,434.37
25/01/2021 18:15:07.7770,5009843,434.37
25/01/2021 18:15:08.7770,5009843,434.37
25/01/2021 18:15:09.7770,5009843,434.36
25/01/2021 18:15:10.7764,5009843,434.37
25/01/2021 18:15:11.7772,5009843.1,434.37
25/01/2021 18:15:12.7772,5009843,434.36
25/01/2021 18:15:13.7776,5009843,434.36
25/01/2021 18:15:14.7767,5009843.1,434.36
25/01/2021 18:15:15.7765,5009843,434.36
25/01/2021 18:15:16.7771,5009843,434.36
25/01/2021 18:15:17.7768,5009843,434.36
25/01/2021 18:15:18.7780,5009843,434.35
25/01/2021 18:15:19.7775,5009843,434.35
25/01/2021 18:15:20.7778,5009843,434.35
25/01/2021 18:15:21.7771,5009843,434.35
25/01/2021 18:15:22.7777,5009843.1,434.35
25/01/2021 18:15:23.7781,5009843,434.35
25/01/2021 18:15:24.7770,5009843,434.35
25/01/2021 18:15:25.7772,5009843,434.35
25/01/2021 18:15:26.7778,5009843,434.35
25/01/2021 18:15:27.7784,5009843,434.34
25/01/2021 18:15:28.7779,5009843,434.34
25/01/2021 18:15:29.7764,5009843,434.34
25/01/2021 18:15:30.7770,5009843,434.34
25/01/2021 18:15:31.7773,5009843,434.34
25/01/2021 18:15:32.7778,5009843,434.34
25/01/2021 18:15:33.7777,5009843,434.34
25/01/2021 18:15:34.7786,5009843.1,434.34
25/01/2021 18:15:35.7784,5009843,434.33
25/01/2021 18:15:36.7781,5009843.1,434.33
25/01/2021 18:15:37.7779,5009843,434.33
25/01/2021 18:15:38.7777,5009843,434.33
25/01/2021 18:15:39.7768,5009843,434.33
25/01/2021 18:15:40.7769,5009843.1,434.33
25/01/2021 18:15:41.7771,5009843,434.33
25/01/2021 18:15:42.7774,5009843,434.32
25/01/2021 18:15:43.7770,5009843,434.32
25/01/2021 18:15:44.7764,5009843,434.32
25/01/2021 18:15:45.7764,5009843,434.32
25/01/2021 18:15:46.7778,5009843,434.32
25/01/2021 18:15:47.7780,5009843,434.32
25/01/2021 18:15:48.7765,5009843,434.32
25/01/2021 18:15:49.7771,5009843,434.32
25/01/2021 18:15:50.7779,5009843,434.32
25/01/2021 18:15:51.7773,5009843,434.3
25/01/2021 18:15:52.7779,5009843,434.3
25/01/2021 18:15:53.7774,5009843,434.31
25/01/2021 18:15:54.7781,5009843,434.31
25/01/2021 18:15:55.7782,5009843,434.31
25/01/2021 18:15:56.7768,5009843,434.3
25/01/2021 18:15:57.7772,5009843,434.3
25/01/2021 18:15:58.7775,5009843,434.3
25/01/2021 18:15:59.7777,5009843,434.3
25/01/2021 18:16:00.7778,5009843.1,434.3
25/01/2021 18:16:01.7773,5009843,434.3
25/01/2021 18:16:02.7778,5009843,434.3
25/01/2021 18:16:03.7772,5009843,434.29
25/01/2021 18:16:04.7772,5009843,434.3
25/01/2021 18:16:05.7776,5009843,434.3
25/01/2021 18:16:06.7777,5009843,434.29
25/01/2021 18:16:07.7779,5009843,434.3
25/01/2021 18:16:08.7785,5009843,434.29
25/01/2021 18:16:09.7772,5009843,434.29
25/01/2021 18:16:10.7778,5009843,434.29
25/01/2021 18:16:11.7775,5009843,434.29
25/01/2021 18:16:12.7768,5009843,434.29
25/01/2021 18:16:13.7771,5009843.1,434.29
25/01/2021 18:16:14.7773,5009843,434.29
25/01/2021 18:16:15.7771,5009843.1,434.29
25/01/2021 18:16:16.7774,5009843.1,434.29
25/01/2021 18:16:17.7778,5009843.1,434.29
25/01/2021 18:16:18.7777,5009843.1,434.28
25/01/2021 18:16:19.7774,5009843.1,434.28
25/01/2021 18:16:20.7769,5009843,434.28
25/01/2021 18:16:21.7770,5009843,434.28
25/01/2021 18:16:22.7771,5009843,434.28
25/01/2021 18:16:23.7778,5009843.1,434.29
25/01/2021 18:16:24.7782,5009843,434.28
25/01/2021 18:16:25.7773,5009843.1,434.28
25/01/2021 18:16:26.7766,5009843.1,434.28
25/01/2021 18:16:27.7778,5009843.1,434.28
25/01/2021 18:16:28.7771,5009843.1,434.28
25/01/2021 18:16:29.7771,5009843.1,434.28
25/01/2021 18:16:30.7781,5009843.1,434.28
25/01/2021 18:16:31.7772,5009843.1,434.28
25/01/2021 18:16:32.7774,5009843,434.28
25/01/2021 18:16:33.7766,5009843,434.29
25/01/2021 18:16:34.7778,5009843,434.28
25/01/2021 18:16:35.7764,5009843.1,434.28
25/01/2021 18:16:36.7781,5009843.1,434.28
25/01/2021 18:16:37.7772,5009843.1,434.28
25/01/2021 18:16:38.7775,5009843.1,434.28
25/01/2021 18:16:39.7774,5009843.1,434.28
25/01/2021 18:16:40.7778,5009843.1,434.29
25/01/2021 18:16:41.7771,5009843.1,434.29
25/01/2021 18:16:42.7773,5009843.1,434.29
25/01/2021 18:16:43.7777,5009843.1,434.3
25/01/2021 18:16:44.7772,5009843.2,434.3
25/01/2021 18:16:45.7778,5009843.1,434.3
25/01/2021 18:16:46.7776,5009843.2,434.31
25/01/2021 18:16:47.7763,5009843.1,434.31
25/01/2021 18:16:48.7767,5009843.2,434.31
