Time,Frequency,Resistance
21/1/2021 18:43:8.20663,5009897.7,417.07
21/1/2021 18:43:9.20793,5009897.7,417.07
21/1/2021 18:43:10.20390,5009897.6,417.07
21/1/2021 18:43:11.20870,5009897.7,417.08
21/1/2021 18:43:12.20352,5009897.6,417.08
21/1/2021 18:43:13.20347,5009897.6,417.08
21/1/2021 18:43:14.20880,5009897.6,417.08
21/1/2021 18:43:15.19624,5009897.6,417.08
21/1/2021 18:43:16.20282,5009897.6,417.09
21/1/2021 18:43:17.20487,5009897.6,417.09
21/1/2021 18:43:18.20858,5009897.5,417.09
21/1/2021 18:43:19.20707,5009897.6,417.09
21/1/2021 18:43:20.21338,5009897.5,417.09
21/1/2021 18:43:21.20824,5009897.4,417.09
21/1/2021 18:43:22.20482,5009897.4,417.1
21/1/2021 18:43:23.20497,5009897.4,417.1
21/1/2021 18:43:24.20934,5009897.4,417.1
21/1/2021 18:43:25.20347,5009897.4,417.1
21/1/2021 18:43:26.20919,5009897.4,417.1
21/1/2021 18:43:27.20553,5009897.4,417.1
21/1/2021 18:43:28.20845,5009897.4,417.11
21/1/2021 18:43:29.21578,5009897.4,417.11
21/1/2021 18:43:30.20946,5009897.3,417.11
21/1/2021 18:43:31.20468,5009897.4,417.11
21/1/2021 18:43:32.20815,5009897.3,417.11
21/1/2021 18:43:33.20881,5009897.3,417.11
21/1/2021 18:43:34.21383,5009897.4,417.11
21/1/2021 18:43:35.20189,5009897.3,417.11
21/1/2021 18:43:36.20343,5009897.3,417.12
21/1/2021 18:43:37.20930,5009897.3,417.11
21/1/2021 18:43:38.20948,5009897.2,417.12
21/1/2021 18:43:39.20506,5009897.2,417.12
21/1/2021 18:43:40.20974,5009897.3,417.12
21/1/2021 18:43:41.20987,5009897.2,417.12
21/1/2021 18:43:42.21586,5009897.1,417.12
21/1/2021 18:43:43.20165,5009897.1,417.12
21/1/2021 18:43:44.20264,5009897.1,417.12
21/1/2021 18:43:45.19750,5009897.1,417.13
21/1/2021 18:43:46.21196,5009897.1,417.13
21/1/2021 18:43:47.20481,5009897.1,417.13
21/1/2021 18:43:48.20724,5009897,417.13
