Time, Frequency, Resistance 
16/12/2020 10:22:29.853744, 5011597.0, 18.121
16/12/2020 10:22:31.227900, 5011597.0, 18.122
16/12/2020 10:22:32.217760, 5011596.8, 18.119
16/12/2020 10:22:33.227680, 5011596.6, 18.12
16/12/2020 10:22:34.228260, 5011596.7, 18.12
16/12/2020 10:22:35.232030, 5011596.7, 18.121
16/12/2020 10:22:36.235170, 5011596.7, 18.12
16/12/2020 10:22:37.227870, 5011596.7, 18.12
16/12/2020 10:22:38.231670, 5011596.7, 18.119
16/12/2020 10:22:39.233600, 5011596.3, 18.116
16/12/2020 10:22:40.219640, 5011596.2, 18.112000000000002
16/12/2020 10:22:41.232840, 5011596.3, 18.111
16/12/2020 10:22:42.223230, 5011596.3, 18.114
16/12/2020 10:22:43.233720, 5011596.3, 18.111
16/12/2020 10:22:44.235030, 5011596.3, 18.113
16/12/2020 10:22:45.219140, 5011596.3, 18.111
16/12/2020 10:22:46.221500, 5011596.3, 18.109
16/12/2020 10:22:47.226120, 5011596.0, 18.104
16/12/2020 10:22:48.217490, 5011595.6, 18.099
16/12/2020 10:22:49.217630, 5011595.1, 18.102
16/12/2020 10:22:50.233300, 5011595.0, 18.104
16/12/2020 10:22:51.225110, 5011595.1, 18.104
16/12/2020 10:22:52.223120, 5011595.2, 18.102
16/12/2020 10:22:53.225410, 5011595.3, 18.102
16/12/2020 10:22:54.221440, 5011595.4, 18.102
16/12/2020 10:22:55.234340, 5011595.4, 18.102999999999998
16/12/2020 10:22:56.231640, 5011595.5, 18.104
16/12/2020 10:22:57.224960, 5011595.5, 18.105
16/12/2020 10:22:58.228560, 5011595.4, 18.105
16/12/2020 10:22:59.223070, 5011595.6, 18.107
16/12/2020 10:23:0.230110, 5011595.5, 18.108
16/12/2020 10:23:1.225360, 5011595.5, 18.107
16/12/2020 10:23:2.220260, 5011595.6, 18.107
16/12/2020 10:23:3.222770, 5011595.4, 18.107
16/12/2020 10:23:4.217040, 5011595.5, 18.108
16/12/2020 10:23:5.217900, 5011595.5, 18.108
16/12/2020 10:23:6.216880, 5011595.4, 18.108
16/12/2020 10:23:7.216000, 5011595.3, 18.105999999999998
16/12/2020 10:23:8.223810, 5011595.2, 18.105999999999998
16/12/2020 10:23:9.218650, 5011595.1, 18.102999999999998
16/12/2020 10:23:10.216390, 5011595.0, 18.102
16/12/2020 10:23:11.218670, 5011594.7, 18.098
16/12/2020 10:23:12.219420, 5011594.5, 18.098
16/12/2020 10:23:13.217800, 5011594.4, 18.1
16/12/2020 10:23:14.230450, 5011594.4, 18.101
16/12/2020 10:23:15.216120, 5011594.1, 18.102
16/12/2020 10:23:16.224350, 5011593.8, 18.102999999999998
16/12/2020 10:23:17.224130, 5011593.5, 18.107
16/12/2020 10:23:18.224190, 5011593.4, 18.111
16/12/2020 10:23:19.217940, 5011593.3, 18.113
16/12/2020 10:23:20.221400, 5011593.4, 18.113
16/12/2020 10:23:21.230670, 5011593.4, 18.114
16/12/2020 10:23:22.227950, 5011593.3, 18.114
16/12/2020 10:23:23.214860, 5011593.4, 18.114
16/12/2020 10:23:24.217400, 5011593.5, 18.112000000000002
16/12/2020 10:23:25.221690, 5011593.4, 18.113
16/12/2020 10:23:26.218560, 5011593.4, 18.116
16/12/2020 10:23:27.218240, 5011593.3, 18.115
16/12/2020 10:23:28.216220, 5011593.3, 18.115
16/12/2020 10:23:29.213680, 5011593.2, 18.116
16/12/2020 10:23:30.215570, 5011593.2, 18.118
16/12/2020 10:23:31.216360, 5011593.2, 18.119
16/12/2020 10:23:32.214690, 5011593.3, 18.122
16/12/2020 10:23:33.224500, 5011593.2, 18.123
16/12/2020 10:23:34.221740, 5011593.1, 18.123
16/12/2020 10:23:35.225420, 5011593.1, 18.124000000000002
16/12/2020 10:23:36.219920, 5011593.0, 18.125
16/12/2020 10:23:37.218590, 5011592.8, 18.125
16/12/2020 10:23:38.216210, 5011592.6, 18.125
16/12/2020 10:23:39.212420, 5011592.6, 18.128
16/12/2020 10:23:40.214600, 5011592.5, 18.129
16/12/2020 10:23:41.215550, 5011592.5, 18.13
16/12/2020 10:23:42.221910, 5011592.2, 18.13
16/12/2020 10:23:43.223480, 5011592.1, 18.133
16/12/2020 10:23:44.220520, 5011592.1, 18.135
16/12/2020 10:23:45.213340, 5011592.2, 18.136
16/12/2020 10:23:46.213630, 5011592.3, 18.137
16/12/2020 10:23:47.212340, 5011592.3, 18.137
16/12/2020 10:23:48.210730, 5011592.3, 18.137
16/12/2020 10:23:49.213050, 5011592.3, 18.137
16/12/2020 10:23:50.228930, 5011592.2, 18.14
16/12/2020 10:23:51.226880, 5011592.1, 18.141
16/12/2020 10:23:52.222330, 5011592.0, 18.143
16/12/2020 10:23:53.211140, 5011592.0, 18.143
16/12/2020 10:23:54.222550, 5011592.0, 18.145
16/12/2020 10:23:55.219830, 5011592.0, 18.144000000000002
16/12/2020 10:23:56.225110, 5011592.0, 18.144000000000002
16/12/2020 10:23:57.227180, 5011592.0, 18.146
16/12/2020 10:23:58.225810, 5011592.0, 18.148
16/12/2020 10:23:59.223270, 5011592.0, 18.152
16/12/2020 10:24:0.212760, 5011591.9, 18.151
16/12/2020 10:24:1.219410, 5011591.9, 18.151
16/12/2020 10:24:2.214310, 5011591.8, 18.152
16/12/2020 10:24:3.217060, 5011591.8, 18.152
16/12/2020 10:24:4.213910, 5011591.7, 18.153
16/12/2020 10:24:5.220380, 5011591.7, 18.153
16/12/2020 10:24:6.224490, 5011591.5, 18.154
16/12/2020 10:24:7.223470, 5011591.3, 18.158
16/12/2020 10:24:8.212960, 5011591.3, 18.160999999999998
16/12/2020 10:24:9.223870, 5011591.3, 18.163
16/12/2020 10:24:10.220540, 5011591.3, 18.164
16/12/2020 10:24:11.224130, 5011591.3, 18.164
16/12/2020 10:24:12.218990, 5011591.3, 18.165
16/12/2020 10:24:13.211530, 5011591.2, 18.167
16/12/2020 10:24:14.223340, 5011591.0, 18.168
16/12/2020 10:24:15.224880, 5011589.8, 18.189
16/12/2020 10:24:16.218870, 5011577.8, 18.246
16/12/2020 10:24:17.217150, 5011300.8, 151.26
16/12/2020 10:24:18.218510, 5010186.6, 151.26
16/12/2020 10:24:19.217490, 5010039.4, 375.87
16/12/2020 10:24:20.216590, 5010018.6, 378.21
16/12/2020 10:24:21.222130, 5010006.5, 379.24
16/12/2020 10:24:22.221610, 5010002.3, 380.04
16/12/2020 10:24:23.223160, 5009999.8, 380.53
16/12/2020 10:24:24.218610, 5009993.9, 380.59
16/12/2020 10:24:25.208560, 5009990.3, 380.44
16/12/2020 10:24:26.208620, 5009987.4, 380.28
16/12/2020 10:24:27.219060, 5009984.7, 380.14
16/12/2020 10:24:28.217930, 5009982.4, 380.11
16/12/2020 10:24:29.220890, 5009980.4, 380.07
16/12/2020 10:24:30.211860, 5009978.5, 380.04
16/12/2020 10:24:31.206590, 5009976.9, 380.03
16/12/2020 10:24:32.213970, 5009975.3, 380.03
16/12/2020 10:24:33.211070, 5009973.8, 380.0
16/12/2020 10:24:34.215920, 5009972.5, 379.99
16/12/2020 10:24:35.219010, 5009972.0, 379.99
16/12/2020 10:24:36.209090, 5009988.6, 379.31
16/12/2020 10:24:37.222750, 5009974.9, 378.91
16/12/2020 10:24:38.209360, 5009967.1, 379.99
16/12/2020 10:24:39.221270, 5009966.1, 379.98
16/12/2020 10:24:40.222360, 5009965.3, 379.98
16/12/2020 10:24:41.212290, 5009964.6, 379.97
16/12/2020 10:24:42.214130, 5009963.9, 379.96
16/12/2020 10:24:43.221400, 5009963.0, 379.95
16/12/2020 10:24:44.221730, 5009962.3, 379.91
16/12/2020 10:24:45.216270, 5009961.7, 379.9
16/12/2020 10:24:46.220360, 5009961.0, 379.9
16/12/2020 10:24:47.212700, 5009960.4, 379.9
16/12/2020 10:24:48.213850, 5009959.8, 379.91
16/12/2020 10:24:49.214840, 5009959.1, 379.91
16/12/2020 10:24:50.210090, 5009958.6, 379.91
16/12/2020 10:24:51.209040, 5009958.1, 379.92
16/12/2020 10:24:52.216370, 5009957.5, 379.91
16/12/2020 10:24:53.218340, 5009957.0, 379.91
16/12/2020 10:24:54.220370, 5009956.6, 379.91
16/12/2020 10:24:55.216870, 5009956.0, 379.91
16/12/2020 10:24:56.221910, 5009955.6, 379.91
16/12/2020 10:24:57.220470, 5009955.2, 379.9
