Time, Frequency, Resistance 
7/1/2021 11:29:7.998379, 5011673.3, 17.395
7/1/2021 11:29:9.23212, 5011672.1, 17.395
7/1/2021 11:29:10.22320, 5011671.8, 17.366
7/1/2021 11:29:11.22388, 5011672.0, 17.335
7/1/2021 11:29:12.22507, 5011672.0, 17.319
7/1/2021 11:29:13.22373, 5011671.9, 17.302
7/1/2021 11:29:14.22607, 5011671.4, 17.301
7/1/2021 11:29:15.21483, 5011671.1, 17.298
7/1/2021 11:29:16.23089, 5011671.4, 17.296
7/1/2021 11:29:17.23540, 5011671.4, 17.291
7/1/2021 11:29:18.23086, 5011671.8, 17.281
7/1/2021 11:29:19.22960, 5011671.6, 17.24
7/1/2021 11:29:20.22593, 5011671.0, 17.167
7/1/2021 11:29:21.24214, 5011670.5, 17.164
7/1/2021 11:29:22.23473, 5011669.6, 17.161
7/1/2021 11:29:23.23299, 5011668.4, 17.156
7/1/2021 11:29:24.24064, 5011668.3, 17.156
7/1/2021 11:29:25.23563, 5011668.3, 17.138
7/1/2021 11:29:26.22893, 5011668.1, 17.113
7/1/2021 11:29:27.22684, 5011668.4, 17.106
7/1/2021 11:29:28.22123, 5011668.3, 17.322
7/1/2021 11:29:29.22823, 5011668.3, 17.363
7/1/2021 11:29:30.23632, 5011666.4, 17.342
7/1/2021 11:29:31.24100, 5011696.0, 19.038
7/1/2021 11:29:32.24257, 2298893.4, 436.35
7/1/2021 11:29:33.23872, 4125325.3, 915.65
7/1/2021 11:29:34.23963, 4059467.4, 46.639
7/1/2021 11:29:35.22469, 5011694.2, 119.94
7/1/2021 11:29:36.23101, 5011691.8, 15.534
7/1/2021 11:29:37.23677, 5011690.0, 15.634
7/1/2021 11:29:38.24078, 4872215.1, 15.634
7/1/2021 11:29:39.24600, 4883403.1, 39.178
7/1/2021 11:29:40.24581, 4953665.3, 35.652
7/1/2021 11:29:41.23311, 4376567.6, 22.352
7/1/2021 11:29:42.23622, 1809645.9, 475.04
7/1/2021 11:29:43.23295, 1979082.0, 4398.2
7/1/2021 11:29:44.23715, 1839887.3, 3804.4
7/1/2021 11:29:45.24554, 2253386.0, 4355.1
7/1/2021 11:29:46.23675, 4542149.8, 477.47
7/1/2021 11:29:47.23172, 5011635.3, 15.619
7/1/2021 11:29:48.24344, 5011574.0, 16.273
