Time, Frequency, Resistance 
20/1/2021 18:50:1.798714, 5009879.7, 420.49
20/1/2021 18:50:2.799350, 5009879.6, 420.51
20/1/2021 18:50:3.800045, 5009879.8, 420.51
20/1/2021 18:50:4.799439, 5009879.9, 420.5
20/1/2021 18:50:5.799754, 5009880.0, 420.5
20/1/2021 18:50:6.799089, 5009880.2, 420.51
20/1/2021 18:50:7.798920, 5009880.9, 420.34
20/1/2021 18:50:8.799392, 5009875.3, 420.58
20/1/2021 18:50:9.800373, 5009873.1, 420.92
20/1/2021 18:50:10.798800, 5009872.1, 421.04
20/1/2021 18:50:11.799020, 5009871.6, 421.1
20/1/2021 18:50:12.800025, 5009870.8, 421.16
20/1/2021 18:50:13.799579, 5009869.3, 421.26
20/1/2021 18:50:14.799796, 5009867.2, 421.46
20/1/2021 18:50:15.799343, 5009865.7, 421.59
20/1/2021 18:50:16.799337, 5009864.9, 421.59
20/1/2021 18:50:17.800031, 5009864.2, 421.64
20/1/2021 18:50:18.799490, 5009863.7, 421.71
20/1/2021 18:50:19.799698, 5009863.1, 421.77
20/1/2021 18:50:20.800188, 5009863.0, 421.87
20/1/2021 18:50:21.799490, 5009864.0, 421.86
20/1/2021 18:50:22.800020, 5009865.0, 421.79
20/1/2021 18:50:23.799644, 5009865.6, 421.74
20/1/2021 18:50:24.800195, 5009866.8, 421.62
20/1/2021 18:50:25.798950, 5009867.1, 421.6
20/1/2021 18:50:26.799969, 5009871.0, 421.33
20/1/2021 18:50:27.799588, 5009873.2, 421.02
20/1/2021 18:50:28.800224, 5009873.8, 420.99
20/1/2021 18:50:29.799889, 5009874.2, 420.99
20/1/2021 18:50:30.799507, 5009874.8, 420.99
20/1/2021 18:50:31.799457, 5009875.1, 420.97
20/1/2021 18:50:32.799259, 5009875.6, 420.95
20/1/2021 18:50:33.799791, 5009875.8, 420.93
20/1/2021 18:50:34.799577, 5009875.8, 420.91
20/1/2021 18:50:35.800258, 5009875.8, 420.9
20/1/2021 18:50:36.798873, 5009875.8, 420.91
20/1/2021 18:50:37.800584, 5009875.9, 420.91
20/1/2021 18:50:38.800586, 5009875.9, 420.9
20/1/2021 18:50:39.800085, 5009875.9, 420.91
20/1/2021 18:50:40.800681, 5009875.9, 420.89
20/1/2021 18:50:41.798971, 5009875.8, 420.84
20/1/2021 18:50:42.799582, 5009872.7, 421.09
20/1/2021 18:50:43.799065, 5009872.0, 421.17
20/1/2021 18:50:44.800556, 5009872.0, 421.17
20/1/2021 18:50:45.799907, 5009872.4, 421.2
20/1/2021 18:50:46.800636, 5009872.9, 421.2
20/1/2021 18:50:47.800307, 5009873.4, 421.16
20/1/2021 18:50:48.800769, 5009873.8, 421.12
20/1/2021 18:50:49.800368, 5009873.9, 421.09
20/1/2021 18:50:50.799638, 5009873.9, 421.07
20/1/2021 18:50:51.798760, 5009873.9, 421.06
20/1/2021 18:50:52.800118, 5009873.9, 421.06
20/1/2021 18:50:53.800615, 5009873.9, 421.05
20/1/2021 18:50:54.800108, 5009873.5, 421.04
20/1/2021 18:50:55.800384, 5009873.4, 421.03
20/1/2021 18:50:56.800117, 5009873.0, 421.06
20/1/2021 18:50:57.800631, 5009872.5, 421.09
20/1/2021 18:50:58.798864, 5009872.1, 421.11
20/1/2021 18:50:59.799534, 5009871.8, 421.11
20/1/2021 18:51:0.799939, 5009871.4, 421.13
20/1/2021 18:51:1.800230, 5009871.0, 421.17
