Time, Frequency, Resistance 
21/1/2021 19:57:45.21048, 5009812.9, 445.83
21/1/2021 19:57:46.70480, 5009812.9, 445.85
21/1/2021 19:57:47.121128, 5009812.9, 445.86
21/1/2021 19:57:48.171460, 5009812.8, 445.88
21/1/2021 19:57:49.182927, 5009812.7, 445.89
21/1/2021 19:57:50.183597, 5009812.8, 445.92
21/1/2021 19:57:51.182628, 5009812.7, 446.04
21/1/2021 19:57:52.183192, 5009812.6, 446.08
21/1/2021 19:57:53.184711, 5009812.5, 446.09
21/1/2021 19:57:54.184199, 5009812.4, 446.11
21/1/2021 19:57:55.184391, 5009812.5, 446.12
21/1/2021 19:57:56.184816, 5009812.3, 446.14
21/1/2021 19:57:57.184330, 5009812.3, 446.15
21/1/2021 19:57:58.184209, 5009812.1, 446.16
21/1/2021 19:57:59.184058, 5009812.0, 446.18
21/1/2021 19:58:0.184222, 5009811.9, 446.19
21/1/2021 19:58:1.188183, 5009811.9, 446.2
21/1/2021 19:58:2.184654, 5009811.7, 446.2
21/1/2021 19:58:3.184226, 5009811.6, 446.21
21/1/2021 19:58:4.184821, 5009811.6, 446.22
21/1/2021 19:58:5.184512, 5009811.4, 446.24
21/1/2021 19:58:6.184765, 5009811.3, 446.26
21/1/2021 19:58:7.183105, 5009811.3, 446.27
21/1/2021 19:58:8.184786, 5009811.2, 446.28
21/1/2021 19:58:9.184326, 5009811.1, 446.29
21/1/2021 19:58:10.183559, 5009811.0, 446.31
21/1/2021 19:58:11.183405, 5009811.0, 446.32
21/1/2021 19:58:12.184337, 5009810.9, 446.33
21/1/2021 19:58:13.185172, 5009810.9, 446.35
21/1/2021 19:58:14.183712, 5009810.8, 446.36
21/1/2021 19:58:15.184064, 5009810.7, 446.38
21/1/2021 19:58:16.184732, 5009810.6, 446.38
21/1/2021 19:58:17.185205, 5009810.4, 446.39
21/1/2021 19:58:18.184668, 5009810.3, 446.41
21/1/2021 19:58:19.184373, 5009810.3, 446.43
21/1/2021 19:58:20.184795, 5009810.2, 446.44
21/1/2021 19:58:21.184158, 5009810.0, 446.46
21/1/2021 19:58:22.184591, 5009810.0, 446.47
21/1/2021 19:58:23.185070, 5009809.9, 446.48
21/1/2021 19:58:24.184404, 5009809.8, 446.5
21/1/2021 19:58:25.184553, 5009809.6, 446.51
21/1/2021 19:58:26.184908, 5009809.4, 446.53
21/1/2021 19:58:27.185532, 5009809.4, 446.55
21/1/2021 19:58:28.185148, 5009809.2, 446.57
21/1/2021 19:58:29.183585, 5009809.2, 446.6
21/1/2021 19:58:30.184778, 5009809.0, 446.6
21/1/2021 19:58:31.185139, 5009809.0, 446.61
21/1/2021 19:58:32.184729, 5009808.9, 446.63
21/1/2021 19:58:33.185580, 5009808.8, 446.63
21/1/2021 19:58:34.184766, 5009808.7, 446.66
21/1/2021 19:58:35.184469, 5009808.5, 446.67
21/1/2021 19:58:36.184743, 5009808.4, 446.69
21/1/2021 19:58:37.185391, 5009808.3, 446.71
21/1/2021 19:58:38.184687, 5009808.1, 446.73
21/1/2021 19:58:39.185309, 5009808.0, 446.75
21/1/2021 19:58:40.185611, 5009807.9, 446.78
21/1/2021 19:58:41.185226, 5009807.8, 446.8
21/1/2021 19:58:42.185749, 5009807.7, 446.82
21/1/2021 19:58:43.184773, 5009807.6, 446.85
21/1/2021 19:58:44.188106, 5009807.4, 446.88
21/1/2021 19:58:45.185110, 5009807.4, 446.88
