Time, Frequency, Resistance 
25/1/2021 13:34:43.502706, 5009833.3, 433.49
25/1/2021 13:34:44.503677, 5009833.3, 433.49
25/1/2021 13:34:45.502256, 5009833.3, 433.49
25/1/2021 13:34:46.502446, 5009833.3, 433.49
25/1/2021 13:34:47.503149, 5009833.3, 433.49
25/1/2021 13:34:48.503524, 5009833.3, 433.49
25/1/2021 13:34:49.504016, 5009833.3, 433.49
25/1/2021 13:34:50.502696, 5009833.3, 433.49
25/1/2021 13:34:51.503019, 5009833.3, 433.49
25/1/2021 13:34:52.503469, 5009833.3, 433.49
25/1/2021 13:34:53.503729, 5009833.3, 433.49
25/1/2021 13:34:54.503105, 5009833.3, 433.49
25/1/2021 13:34:55.503619, 5009833.3, 433.49
25/1/2021 13:34:56.503152, 5009833.3, 433.49
25/1/2021 13:34:57.503744, 5009833.3, 433.49
25/1/2021 13:34:58.502729, 5009833.3, 433.49
25/1/2021 13:34:59.502436, 5009833.4, 433.5
25/1/2021 13:35:0.503882, 5009833.3, 433.5
25/1/2021 13:35:1.503354, 5009833.3, 433.5
25/1/2021 13:35:2.502746, 5009833.3, 433.49
25/1/2021 13:35:3.503292, 5009833.3, 433.5
25/1/2021 13:35:4.503549, 5009833.3, 433.49
25/1/2021 13:35:5.503332, 5009833.3, 433.5
25/1/2021 13:35:6.504140, 5009833.3, 433.5
25/1/2021 13:35:7.503248, 5009833.3, 433.5
25/1/2021 13:35:8.502962, 5009833.3, 433.5
25/1/2021 13:35:9.503242, 5009833.3, 433.5
25/1/2021 13:35:10.502901, 5009833.4, 433.5
25/1/2021 13:35:11.503310, 5009833.3, 433.5
25/1/2021 13:35:12.503790, 5009833.3, 433.5
25/1/2021 13:35:13.503099, 5009833.4, 433.5
25/1/2021 13:35:14.502255, 5009833.3, 433.5
25/1/2021 13:35:15.503650, 5009833.3, 433.5
25/1/2021 13:35:16.503406, 5009833.4, 433.5
25/1/2021 13:35:17.503151, 5009833.3, 433.51
25/1/2021 13:35:18.503638, 5009833.3, 433.5
25/1/2021 13:35:19.502687, 5009833.3, 433.5
25/1/2021 13:35:20.503224, 5009833.3, 433.5
25/1/2021 13:35:21.503853, 5009833.3, 433.5
25/1/2021 13:35:22.502939, 5009833.3, 433.5
25/1/2021 13:35:23.503247, 5009833.4, 433.5
25/1/2021 13:35:24.503998, 5009833.4, 433.5
25/1/2021 13:35:25.503429, 5009833.3, 433.51
25/1/2021 13:35:26.503937, 5009833.3, 433.51
25/1/2021 13:35:27.503421, 5009833.3, 433.51
25/1/2021 13:35:28.503807, 5009833.3, 433.51
25/1/2021 13:35:29.503326, 5009833.3, 433.51
25/1/2021 13:35:30.503957, 5009833.3, 433.52
25/1/2021 13:35:31.502067, 5009833.3, 433.52
25/1/2021 13:35:32.502963, 5009833.3, 433.52
25/1/2021 13:35:33.503186, 5009833.3, 433.52
25/1/2021 13:35:34.502914, 5009833.3, 433.52
25/1/2021 13:35:35.503182, 5009833.3, 433.52
25/1/2021 13:35:36.503846, 5009833.3, 433.52
