Time, Frequency, Resistance 
28/1/2021 14:26:14.951681, 5009926.8, 414.41
28/1/2021 14:26:16.1471, 5009926.6, 414.42
28/1/2021 14:26:17.10039, 5009926.6, 414.43
28/1/2021 14:26:18.9720, 5009926.6, 414.44
28/1/2021 14:26:19.10247, 5009926.6, 414.45
28/1/2021 14:26:20.9291, 5009926.6, 414.46
28/1/2021 14:26:21.9870, 5009926.6, 414.48
28/1/2021 14:26:22.9458, 5009926.4, 414.53
28/1/2021 14:26:23.10066, 5009926.4, 414.59
28/1/2021 14:26:24.8494, 5009926.3, 414.6
28/1/2021 14:26:25.8942, 5009926.4, 414.6
28/1/2021 14:26:26.9269, 5009925.9, 414.61
28/1/2021 14:26:27.9905, 5009924.6, 414.63
28/1/2021 14:26:28.8537, 5009918.0, 414.62
28/1/2021 14:26:29.9631, 5009917.1, 414.64
28/1/2021 14:26:30.9210, 5009916.6, 414.64
28/1/2021 14:26:31.9833, 5009916.6, 414.66
28/1/2021 14:26:32.9369, 5009917.1, 414.59
28/1/2021 14:26:33.9782, 5009916.8, 414.57
28/1/2021 14:26:34.8504, 5009917.1, 414.61
28/1/2021 14:26:35.9146, 5009916.6, 414.63
28/1/2021 14:26:36.9579, 5009916.4, 414.64
28/1/2021 14:26:37.8637, 5009916.4, 414.63
28/1/2021 14:26:38.8371, 5009916.3, 414.64
28/1/2021 14:26:39.9838, 5009916.4, 414.64
28/1/2021 14:26:40.9439, 5009916.3, 414.65
28/1/2021 14:26:41.8233, 5009916.3, 414.66
28/1/2021 14:26:42.9830, 5009916.3, 414.67
28/1/2021 14:26:43.9278, 5009916.3, 414.67
28/1/2021 14:26:44.9643, 5009916.3, 414.67
28/1/2021 14:26:45.9180, 5009916.3, 414.69
28/1/2021 14:26:46.8458, 5009916.2, 414.7
28/1/2021 14:26:47.9134, 5009916.2, 414.71
28/1/2021 14:26:48.9026, 5009916.2, 414.71
28/1/2021 14:26:49.9576, 5009916.1, 414.73
28/1/2021 14:26:50.9340, 5009916.2, 414.75
28/1/2021 14:26:51.9060, 5009916.1, 414.76
28/1/2021 14:26:52.9564, 5009916.1, 414.77
28/1/2021 14:26:53.9443, 5009916.0, 414.8
28/1/2021 14:26:54.8811, 5009916.0, 414.81
28/1/2021 14:26:55.9283, 5009915.9, 414.81
28/1/2021 14:26:56.8637, 5009916.0, 414.83
28/1/2021 14:26:57.9113, 5009915.9, 414.84
28/1/2021 14:26:58.9581, 5009916.0, 414.85
28/1/2021 14:26:59.8971, 5009915.9, 414.85
28/1/2021 14:27:0.8557, 5009915.9, 414.87
28/1/2021 14:27:1.9427, 5009915.9, 414.87
28/1/2021 14:27:2.8993, 5009915.9, 414.88
28/1/2021 14:27:3.9533, 5009915.9, 414.89
28/1/2021 14:27:4.8507, 5009915.9, 414.9
28/1/2021 14:27:5.8441, 5009915.9, 414.92
28/1/2021 14:27:6.8740, 5009915.9, 414.92
28/1/2021 14:27:7.9351, 5009915.9, 414.94
28/1/2021 14:27:8.7717, 5009915.8, 414.95
28/1/2021 14:27:9.7956, 5009915.8, 414.97
28/1/2021 14:27:10.8802, 5009915.8, 414.98
28/1/2021 14:27:11.9250, 5009915.8, 415.0
28/1/2021 14:27:12.8690, 5009915.8, 415.01
28/1/2021 14:27:13.9133, 5009915.9, 415.01
28/1/2021 14:27:14.8431, 5009915.9, 415.03
28/1/2021 14:27:15.8948, 5009915.8, 415.05
28/1/2021 14:27:16.8289, 5009915.8, 415.08
28/1/2021 14:27:17.7297, 5009915.9, 415.08
28/1/2021 14:27:18.8148, 5009915.8, 415.09
28/1/2021 14:27:19.7047, 5009915.8, 415.09
28/1/2021 14:27:20.8677, 5009915.9, 415.1
28/1/2021 14:27:21.8367, 5009915.9, 415.11
28/1/2021 14:27:22.8724, 5009915.9, 415.12
28/1/2021 14:27:23.8207, 5009915.9, 415.13
28/1/2021 14:27:24.8704, 5009915.9, 415.14
28/1/2021 14:27:25.8538, 5009916.0, 415.15
28/1/2021 14:27:26.8956, 5009916.0, 415.16
28/1/2021 14:27:27.8441, 5009916.1, 415.16
28/1/2021 14:27:28.8916, 5009916.1, 415.16
28/1/2021 14:27:29.7341, 5009916.1, 415.17
28/1/2021 14:27:30.7974, 5009916.2, 415.17
28/1/2021 14:27:31.8627, 5009916.3, 415.18
28/1/2021 14:27:32.8088, 5009916.3, 415.19
28/1/2021 14:27:33.8411, 5009916.3, 415.19
28/1/2021 14:27:34.8893, 5009916.4, 415.2
28/1/2021 14:27:35.8529, 5009916.4, 415.2
