Time, Frequency, Resistance 
13/1/2021 16:48:2.408878, 5010224.1, 392.9
13/1/2021 16:48:3.408362, 5010224.2, 392.92
13/1/2021 16:48:4.408903, 5010224.3, 392.92
13/1/2021 16:48:5.408418, 5010224.3, 392.94
13/1/2021 16:48:6.408235, 5010224.4, 392.95
13/1/2021 16:48:7.408812, 5010224.4, 392.96
13/1/2021 16:48:8.408631, 5010224.6, 392.97
13/1/2021 16:48:9.407795, 5010224.7, 392.99
13/1/2021 16:48:10.408535, 5010224.6, 393.0
13/1/2021 16:48:11.409951, 5010224.8, 393.0
13/1/2021 16:48:12.410331, 5010224.8, 393.01
13/1/2021 16:48:13.408007, 5010224.9, 393.03
13/1/2021 16:48:14.410432, 5010224.9, 393.04
13/1/2021 16:48:15.410035, 5010225.0, 393.06
13/1/2021 16:48:16.409941, 5010225.0, 393.07
13/1/2021 16:48:17.410484, 5010225.1, 393.08
13/1/2021 16:48:18.410119, 5010225.1, 393.1
13/1/2021 16:48:19.410727, 5010225.3, 393.11
13/1/2021 16:48:20.410336, 5010225.7, 393.13
13/1/2021 16:48:21.410229, 5010226.0, 393.15
13/1/2021 16:48:22.410658, 5010226.1, 393.16
13/1/2021 16:48:23.409582, 5010226.0, 393.18
13/1/2021 16:48:24.409324, 5010226.1, 393.19
13/1/2021 16:48:25.410157, 5010226.1, 393.21
13/1/2021 16:48:26.410735, 5010226.2, 393.21
13/1/2021 16:48:27.410166, 5010226.3, 393.23
13/1/2021 16:48:28.410655, 5010226.3, 393.24
13/1/2021 16:48:29.410362, 5010226.3, 393.25
13/1/2021 16:48:30.409878, 5010226.4, 393.26
13/1/2021 16:48:31.409105, 5010226.4, 393.28
13/1/2021 16:48:32.409759, 5010226.4, 393.29
13/1/2021 16:48:33.408118, 5010226.6, 393.31
13/1/2021 16:48:34.410870, 5010226.6, 393.31
13/1/2021 16:48:35.410600, 5010226.7, 393.33
13/1/2021 16:48:36.410592, 5010226.7, 393.35
13/1/2021 16:48:37.411151, 5010226.8, 393.37
13/1/2021 16:48:38.408257, 5010226.9, 393.38
13/1/2021 16:48:39.410206, 5010226.9, 393.39
13/1/2021 16:48:40.410011, 5010226.9, 393.39
13/1/2021 16:48:41.409186, 5010227.0, 393.4
13/1/2021 16:48:42.409662, 5010227.0, 393.42
13/1/2021 16:48:43.411294, 5010227.1, 393.43
13/1/2021 16:48:44.410899, 5010227.1, 393.44
13/1/2021 16:48:45.410530, 5010227.3, 393.46
13/1/2021 16:48:46.410601, 5010227.4, 393.47
13/1/2021 16:48:47.410232, 5010227.4, 393.48
13/1/2021 16:48:48.410757, 5010227.4, 393.5
13/1/2021 16:48:49.408914, 5010227.5, 393.51
13/1/2021 16:48:50.410700, 5010227.7, 393.53
13/1/2021 16:48:51.410774, 5010227.6, 393.54
13/1/2021 16:48:52.411232, 5010227.8, 393.55
13/1/2021 16:48:53.408183, 5010227.8, 393.56
13/1/2021 16:48:54.410123, 5010227.9, 393.56
13/1/2021 16:48:55.410006, 5010228.0, 393.57
